36 Ohariu-Belmont,"ROY, Heather (ACT New Zealand)","SAPSFORD, Roland (Green Party)","SANDYS, Elspeth Somerville (Jim Anderton's Progressive)","CHAUVEL, Charles (Labour Party)","CROSS, Colin Linden (Libertarianz)","SHANKS, Katrina May (National Party)","MANU, Timothy (New Zealand First Party)","DUNNE, Peter (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  6.25,  0.00,  6.25, 18.75,  0.00,  6.25,  0.00, 56.25,  6.25,  0.00,100.00 
ACT New Zealand, 32.67,  0.54,  0.00,  2.35,  0.54, 22.38,  0.18, 39.89,  0.90,  0.54,100.00 
Alliance,  0.00, 12.50, 12.50, 37.50,  6.25,  6.25,  0.00, 18.75,  0.00,  6.25,100.00 
Aotearoa Legalise Cannabis Party,  1.72, 18.97,  0.00, 15.52,  3.45, 18.97,  5.17, 25.86,  5.17,  5.17,100.00 
Christian Heritage NZ,  0.00,  0.00,  0.00,  0.00,  0.00, 23.53,  0.00, 76.47,  0.00,  0.00,100.00 
Democrats for Social Credit,  0.00, 25.00,  0.00,  0.00,  0.00,  0.00, 25.00, 50.00,  0.00,  0.00,100.00 
Destiny New Zealand,  3.15,  1.57,  0.79,  4.72,  0.79, 33.07,  5.51, 37.80, 11.02,  1.57,100.00 
Direct Democracy Party,  0.00,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00, 50.00,100.00 
Green Party,  0.69, 30.27,  1.01, 41.49,  0.23,  2.76,  0.23, 21.57,  0.78,  0.97,100.00 
Jim Anderton's Progressive,  0.84,  5.44, 27.62, 27.20,  0.00,  2.09,  0.84, 34.31,  0.84,  0.84,100.00 
Labour Party,  0.71,  7.11,  0.84, 53.59,  0.12,  1.15,  0.63, 34.08,  0.64,  1.15,100.00 
Libertarianz,  0.00,  0.00,  0.00,  0.00, 76.19,  4.76,  4.76, 14.29,  0.00,  0.00,100.00 
Mâori Party,  1.92,  9.62,  3.85, 28.85,  0.00,  4.81, 12.50, 32.69,  0.00,  5.77,100.00 
National Party,  2.53,  0.69,  0.11,  0.65,  0.21, 42.07,  0.46, 52.38,  0.31,  0.60,100.00 
New Zealand Family Rights Protection Party, 12.50, 12.50,  0.00, 25.00,  0.00, 12.50,  0.00, 37.50,  0.00,  0.00,100.00 
New Zealand First Party,  2.54,  1.17,  0.39,  9.18,  0.20, 13.09, 22.56, 49.12,  0.68,  1.07,100.00 
OneNZ Party,  0.00,  0.00,  0.00, 20.00, 20.00,  0.00,  0.00, 20.00, 20.00, 20.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00,  0.00,  0.00,  0.00, 33.33, 33.33, 33.33,  0.00,  0.00,100.00 
United Future New Zealand,  0.05,  0.39,  0.05,  0.58,  0.00,  0.97,  0.10, 97.24,  0.05,  0.58,100.00 
Informal Party Votes,  0.00,  0.00,  1.37,  5.48,  0.00,  1.37,  0.00, 17.81, 71.23,  2.74,100.00 
Overall Percentage,  2.00,  5.04,  0.65, 24.53,  0.22, 19.66,  1.16, 45.19,  0.67,  0.88,100.00 
