39 Pakuranga,"JACOBSEN, Bronny (ACT New Zealand)","McQUEEN, Ewen (Christian Heritage NZ)","JESZE, David (Destiny New Zealand)","MOORE, Kevin David (Direct Democracy Party)","LY, Meng (Jim Anderton's Progressive)","WOOD, Michael Philip (Labour Party)","WILLIAMSON, Maurice (National Party)","PARAONE, Pita (New Zealand First Party)","McINNES, Ian (United Future New Zealand)","BARON, Steve (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 33.33,  0.00, 50.00, 16.67,  0.00,100.00 
ACT New Zealand, 28.14,  0.37,  0.96,  0.07,  5.69,  6.06, 48.52,  0.44,  0.37,  6.50,  2.22,  0.66,100.00 
Alliance,  0.00,  0.00,  0.00,  0.00, 15.38, 53.85,  7.69,  0.00,  0.00, 15.38,  7.69,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  0.00,  2.78,  0.00,  0.00,  2.78, 33.33, 36.11,  5.56,  2.78,  8.33,  5.56,  2.78,100.00 
Christian Heritage NZ,  0.00, 73.75,  0.00,  0.00,  0.00,  5.00,  8.75,  3.75,  2.50,  5.00,  0.00,  1.25,100.00 
Democrats for Social Credit, 25.00, 25.00,  0.00,  0.00,  0.00, 25.00, 25.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Destiny New Zealand,  0.97,  3.40, 81.55,  0.00,  0.49,  1.46,  8.74,  0.97,  0.97,  0.97,  0.00,  0.49,100.00 
Direct Democracy Party,  9.09,  0.00,  0.00, 63.64,  0.00,  0.00,  0.00,  0.00,  0.00, 27.27,  0.00,  0.00,100.00 
Green Party,  1.54,  0.66,  0.44,  0.00,  2.54, 62.29, 15.66,  3.31,  0.99, 10.25,  1.98,  0.33,100.00 
Jim Anderton's Progressive,  0.67,  0.34,  1.35,  0.00, 23.57, 40.74, 14.14,  4.71,  6.40,  6.40,  0.67,  1.01,100.00 
Labour Party,  1.37,  0.32,  0.39,  0.12,  2.56, 75.44, 10.80,  1.46,  0.81,  4.41,  1.11,  1.20,100.00 
Libertarianz, 28.57,  0.00,  0.00,  0.00,  0.00,  7.14, 28.57,  7.14,  0.00, 28.57,  0.00,  0.00,100.00 
Mâori Party,  0.00,  2.74,  4.11,  0.00,  2.74, 23.29, 17.81, 24.66,  8.22,  5.48,  8.22,  2.74,100.00 
National Party,  3.31,  0.99,  1.05,  0.08,  0.49,  1.44, 83.59,  1.64,  1.94,  4.40,  0.63,  0.43,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00,  0.00,  0.00, 60.00, 20.00,  0.00, 20.00,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  1.00,  1.05,  1.28,  0.38,  0.38, 11.40, 33.16, 39.86,  0.90,  9.79,  0.29,  0.52,100.00 
OneNZ Party,  0.00,  0.00,  0.00, 16.67,  0.00,  0.00, 33.33, 33.33,  0.00, 16.67,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00,  0.00, 20.00,  0.00, 40.00, 20.00,  0.00,  0.00, 20.00,  0.00,  0.00,100.00 
United Future New Zealand,  0.80,  5.01,  2.62,  0.11,  0.68,  7.86, 40.43,  0.46, 35.19,  5.92,  0.57,  0.34,100.00 
Informal Party Votes,  1.14,  0.00,  2.27,  1.14,  0.00, 21.59, 11.36,  2.27,  0.00,  1.14, 53.41,  5.68,100.00 
Overall Percentage,  3.37,  1.03,  1.35,  0.14,  1.55, 26.55, 53.11,  3.88,  2.31,  5.01,  1.01,  0.68,100.00 
