04 Bay of Plenty,"MAXWELL, Roberta Ann (Destiny New Zealand)","ROBERSON, Mike (Direct Democracy Party)","STEPHENS, Ian D (Green Party)","STEWART-WARD, Ronnie (Jim Anderton's Progressive)","SCOTT, Pauline (Labour Party)","PAUL, Te Orohi (Mâori Party)","RYALL, Tony (National Party)","BROWN, Peter (New Zealand First Party)","LEIGH, Jeff (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 33.33,  0.00, 33.33, 33.33,  0.00,100.00 
ACT New Zealand,  0.30,  0.00,  1.51,  0.60,  2.71,  0.00, 87.95,  5.42,  0.60,  0.30,  0.60,100.00 
Alliance,  0.00,  0.00,  0.00, 66.67, 33.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  1.59,  0.00, 15.87,  0.00, 22.22,  0.00, 28.57, 22.22,  3.17,  0.00,  6.35,100.00 
Christian Heritage NZ, 10.00,  0.00,  0.00,  5.00, 20.00,  0.00, 45.00, 10.00, 10.00,  0.00,  0.00,100.00 
Democrats for Social Credit,  7.69,  7.69, 15.38,  7.69, 15.38,  7.69, 15.38, 23.08,  0.00,  0.00,  0.00,100.00 
Destiny New Zealand, 71.68,  0.36,  0.36,  0.00,  1.43,  0.36, 15.77,  5.38,  1.79,  0.36,  2.51,100.00 
Direct Democracy Party,  0.00, 30.00,  0.00,  0.00, 10.00,  0.00, 50.00, 10.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.08,  0.25, 35.86,  0.16, 35.86,  1.48, 17.64,  6.02,  0.91,  0.49,  1.24,100.00 
Jim Anderton's Progressive,  0.32,  0.00,  4.75, 23.42, 22.15,  0.00, 34.49,  9.18,  1.58,  0.32,  3.80,100.00 
Labour Party,  0.22,  0.07,  5.55,  1.06, 62.36,  1.43, 14.86, 11.04,  0.98,  0.84,  1.59,100.00 
Libertarianz,  0.00,  0.00,  8.33,  0.00,  0.00,  0.00, 50.00, 16.67,  0.00, 25.00,  0.00,100.00 
Mâori Party,  0.88,  0.00,  2.65,  0.44, 14.16, 50.88, 11.95,  7.08,  0.88,  2.21,  8.85,100.00 
National Party,  0.26,  0.04,  0.52,  0.09,  0.48,  0.06, 92.03,  4.39,  0.98,  0.29,  0.85,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00, 16.67, 33.33, 16.67, 16.67, 16.67,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  0.50,  0.05,  0.64,  0.11,  5.36,  0.39, 28.98, 62.17,  0.52,  0.45,  0.82,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00, 50.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00, 25.00,  0.00, 25.00,  0.00, 25.00,  0.00,  0.00, 25.00,  0.00,100.00 
United Future New Zealand,  1.06,  0.14,  0.84,  0.14,  3.52,  0.21, 62.84,  4.08, 26.60,  0.28,  0.28,100.00 
Informal Party Votes,  0.78,  0.00,  2.33,  0.00, 12.40,  0.78, 12.40, 12.40,  0.00, 56.59,  2.33,100.00 
Overall Percentage,  0.87,  0.07,  3.22,  0.59, 20.08,  0.86, 57.16, 13.38,  1.93,  0.70,  1.13,100.00 
