41 Piako,"DAVIES, Mark (ACT New Zealand)","RANBY, Colin (Destiny New Zealand)","LEE, Stephen (Green Party)","DONALD, Ian (Jim Anderton's Progressive)","MORONEY, Sue (Labour Party)","AWA, Hori (Mâori Party)","TISCH, Lindsay (National Party)","STEWART, Barbara (New Zealand First Party)","SEDDON, Martyn (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party, 22.22,  0.00,  0.00, 11.11, 22.22,  0.00, 22.22, 11.11,  0.00, 11.11,  0.00,100.00 
ACT New Zealand, 17.84,  0.41,  0.81,  0.41,  4.05,  0.00, 74.46,  1.22,  0.41,  0.14,  0.27,100.00 
Alliance,  7.69,  0.00,  0.00,  7.69, 30.77,  0.00, 38.46, 15.38,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  5.48,  0.00, 35.62,  2.74, 15.07,  4.11, 20.55,  9.59,  2.74,  2.74,  1.37,100.00 
Christian Heritage NZ,  3.85, 11.54,  3.85,  3.85,  7.69,  0.00, 34.62,  7.69, 11.54, 11.54,  3.85,100.00 
Democrats for Social Credit,  4.00,  4.00,  0.00, 12.00, 32.00,  8.00, 16.00, 20.00,  4.00,  0.00,  0.00,100.00 
Destiny New Zealand,  0.60, 65.27,  0.60,  0.00,  4.19,  1.80, 20.96,  0.60,  1.80,  0.00,  4.19,100.00 
Direct Democracy Party,  0.00,  0.00,  0.00, 14.29, 14.29,  0.00, 28.57,  0.00,  0.00, 28.57, 14.29,100.00 
Green Party,  0.84,  0.09, 33.90,  0.75, 53.37,  0.66,  6.93,  1.59,  0.37,  0.75,  0.75,100.00 
Jim Anderton's Progressive,  0.80,  0.40,  1.60, 36.00, 44.80,  0.00, 10.40,  3.60,  1.20,  1.20,  0.00,100.00 
Labour Party,  0.51,  0.21,  4.38,  1.01, 83.20,  0.97,  4.65,  2.48,  0.54,  0.96,  1.09,100.00 
Libertarianz, 22.22,  0.00,  0.00,  0.00, 11.11,  0.00, 33.33, 22.22,  0.00, 11.11,  0.00,100.00 
Mâori Party,  1.34,  0.67,  3.36,  0.67, 18.12, 51.01, 12.75,  2.68,  0.67,  1.34,  7.38,100.00 
National Party,  1.44,  0.42,  0.74,  0.13,  1.11,  0.10, 91.91,  2.14,  1.04,  0.44,  0.52,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00, 33.33, 33.33,  0.00, 33.33,  0.00,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  0.75,  0.49,  0.78,  0.72, 13.73,  0.65, 32.00, 49.00,  0.46,  0.92,  0.49,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 66.67, 33.33,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00,  0.00,  0.00, 40.00, 20.00, 20.00,  0.00,  0.00, 20.00,  0.00,100.00 
United Future New Zealand,  1.38,  1.72,  0.92,  0.92, 11.71,  0.46, 52.12,  2.76, 27.32,  0.46,  0.23,100.00 
Informal Party Votes,  0.00,  0.00,  1.75,  1.17, 16.37,  0.58, 13.45,  2.92,  0.00, 63.16,  0.58,100.00 
Overall Percentage,  1.44,  0.71,  2.98,  0.79, 29.76,  0.69, 53.99,  6.44,  1.48,  0.99,  0.73,100.00 
