45 Rimutaka,"KEARNEY, Nigel (ACT New Zealand)","MORRIS, Michael (Green Party)","SWAIN, Paul (Labour Party)","LEDDY, Mike (National Party)","FOWLER, David (New Zealand First Party)","McCLELLAND, Bernard (United Future New Zealand)","REYNOLDS, Dave (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  7.14, 57.14, 14.29,  0.00,  0.00, 14.29,  7.14,  0.00,100.00 
ACT New Zealand, 23.19,  1.21, 16.43, 49.03,  0.72,  3.14,  4.83,  1.21,  0.24,100.00 
Alliance,  0.00,  7.14, 71.43,  7.14, 10.71,  0.00,  0.00,  3.57,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  1.10, 30.77, 41.76,  9.89,  3.30,  2.20,  4.40,  1.10,  5.49,100.00 
Christian Heritage NZ,  3.70,  1.85, 14.81, 33.33,  7.41, 31.48,  5.56,  1.85,  0.00,100.00 
Democrats for Social Credit,  0.00, 10.00, 40.00, 10.00,  0.00,  0.00, 35.00,  5.00,  0.00,100.00 
Destiny New Zealand,  2.54,  2.54, 19.80, 18.78,  4.57, 35.03,  9.14,  4.57,  3.05,100.00 
Direct Democracy Party,  0.00, 16.67, 16.67,  0.00, 33.33, 16.67,  0.00, 16.67,  0.00,100.00 
Green Party,  0.35, 25.31, 65.49,  3.04,  0.76,  1.24,  1.94,  0.97,  0.90,100.00 
Jim Anderton's Progressive,  1.55,  4.66, 71.84,  3.77,  3.77,  8.87,  3.55,  1.77,  0.22,100.00 
Labour Party,  0.31,  3.76, 89.96,  0.93,  1.11,  1.26,  0.90,  0.74,  1.03,100.00 
Libertarianz, 15.79, 10.53, 15.79, 26.32,  0.00,  5.26, 15.79,  5.26,  5.26,100.00 
Mâori Party,  1.10, 12.71, 51.93,  4.97,  8.84,  4.42,  2.76,  2.21, 11.05,100.00 
National Party,  1.49,  1.11, 10.60, 77.44,  1.56,  4.94,  1.75,  0.60,  0.51,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00, 55.56,  0.00, 22.22,  0.00, 11.11,  0.00, 11.11,100.00 
New Zealand First Party,  1.38,  1.38, 30.47, 21.66, 36.98,  3.92,  2.07,  1.32,  0.81,100.00 
OneNZ Party,  0.00,  0.00, 50.00, 25.00,  0.00,  0.00, 25.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00,  0.00,  0.00, 50.00,  0.00,  0.00, 50.00,  0.00,100.00 
United Future New Zealand,  0.43,  0.43, 24.33, 23.90,  0.62, 46.19,  2.91,  0.62,  0.56,100.00 
Informal Party Votes,  0.00,  1.38, 31.72,  4.83,  2.76,  2.76,  1.38, 53.79,  1.38,100.00 
Overall Percentage,  1.09,  3.57, 53.70, 29.91,  3.15,  5.11,  1.58,  1.02,  0.87,100.00 
