47 Rongotai,"MIDDLETON, Gavin (ACT New Zealand)","BROOKS, Jocelyn (Alliance)","HIGHFIELD, Luci (Green Party)","BELL, Vladimir (Jim Anderton's Progressive)","KING, Annette Faye (Labour Party)","LOVE, Morris Te Whiti (Mâori Party)","YOUNG, Nicola M J (National Party)","COPELAND, Gordon (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  5.56,  5.56, 22.22,  5.56, 44.44,  5.56,  5.56,  5.56,100.00 
ACT New Zealand, 27.44,  0.00,  3.17,  0.53, 15.83,  0.53, 45.38,  4.22,  1.58,  1.32,100.00 
Alliance,  0.00, 38.71,  3.23,  0.00, 35.48,  0.00,  6.45, 12.90,  3.23,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  4.82,  3.61, 26.51,  1.20, 32.53,  6.02, 10.84,  4.82,  3.61,  6.02,100.00 
Christian Heritage NZ,  0.00,  2.56,  2.56,  0.00, 30.77,  7.69, 10.26, 33.33, 10.26,  2.56,100.00 
Democrats for Social Credit,  0.00, 10.00, 20.00, 10.00, 10.00,  0.00, 10.00, 20.00, 20.00,  0.00,100.00 
Destiny New Zealand,  1.87,  0.93,  1.87,  1.87, 20.56,  4.67, 24.30, 32.71,  9.35,  1.87,100.00 
Direct Democracy Party,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.32,  0.65, 25.21,  0.69, 66.11,  2.70,  1.84,  0.71,  0.45,  1.32,100.00 
Jim Anderton's Progressive,  1.02,  1.52,  4.31, 19.04, 63.45,  1.52,  4.06,  3.55,  1.02,  0.51,100.00 
Labour Party,  0.27,  0.16,  7.87,  0.80, 86.12,  0.89,  0.88,  0.92,  0.86,  1.21,100.00 
Libertarianz,  5.00,  0.00, 25.00,  0.00, 25.00,  0.00, 30.00, 10.00,  0.00,  5.00,100.00 
Mâori Party,  0.00,  1.72,  5.17,  0.00, 38.36, 38.79,  4.74,  1.72,  2.16,  7.33,100.00 
National Party,  2.09,  0.20,  1.67,  0.24, 12.87,  0.61, 75.44,  5.32,  0.80,  0.76,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00,  0.00, 54.55,  0.00, 18.18, 18.18,  9.09,  0.00,100.00 
New Zealand First Party,  2.52,  1.71,  4.69,  3.70, 37.78,  2.89, 33.09,  9.92,  2.52,  1.17,100.00 
OneNZ Party,  0.00,  0.00,  0.00, 28.57, 28.57,  0.00, 14.29, 14.29, 14.29,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00, 33.33,  0.00, 33.33,  0.00,  0.00,  0.00, 33.33,  0.00,100.00 
United Future New Zealand,  0.37,  0.09,  1.03,  0.28, 24.42,  0.28, 14.22, 58.37,  0.47,  0.47,100.00 
Informal Party Votes,  0.00,  0.00,  0.61,  0.61, 28.05,  0.61,  7.32,  2.44, 60.37,  0.00,100.00 
Overall Percentage,  1.15,  0.34,  7.93,  0.90, 58.02,  1.35, 23.72,  4.29,  1.17,  1.12,100.00 
