49 Tamaki,"SHIRLEY, Ken (ACT New Zealand)","BURCH, Grant (Direct Democracy Party)","ROBSON, Matt (Jim Anderton's Progressive)","BOYLE, Leila (Labour Party)","PEACHEY, Allan (National Party)","WEBSTER, Brett (New Zealand First Party)","GRAYDON, Greg (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party, 16.67, 33.33,  0.00, 16.67, 33.33,  0.00,  0.00,  0.00,  0.00,100.00 
ACT New Zealand, 25.67,  0.20,  0.50,  3.57, 67.59,  0.50,  0.30,  1.39,  0.30,100.00 
Alliance,  0.00,  0.00, 66.67,  0.00,  0.00,  0.00, 16.67, 16.67,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  5.56,  1.85,  3.70, 42.59, 20.37,  7.41,  3.70,  3.70, 11.11,100.00 
Christian Heritage NZ,  4.55,  4.55,  4.55,  4.55, 36.36, 13.64, 27.27,  0.00,  4.55,100.00 
Democrats for Social Credit,  0.00,  0.00, 20.00, 60.00,  0.00,  0.00,  0.00, 20.00,  0.00,100.00 
Destiny New Zealand,  3.06,  1.02,  1.02, 20.41, 41.84,  5.10, 13.27, 11.22,  3.06,100.00 
Direct Democracy Party,  0.00, 50.00,  0.00,  0.00, 16.67,  0.00, 16.67,  0.00, 16.67,100.00 
Green Party,  2.95,  0.21,  7.73, 68.10, 14.69,  1.48,  1.26,  2.67,  0.91,100.00 
Jim Anderton's Progressive,  0.75,  0.00, 55.09, 31.32,  9.43,  0.75,  1.13,  1.13,  0.38,100.00 
Labour Party,  1.40,  0.08,  4.34, 82.71,  6.12,  1.59,  0.67,  1.30,  1.79,100.00 
Libertarianz,  0.00,  8.33,  0.00, 16.67, 41.67,  8.33,  0.00, 16.67,  8.33,100.00 
Mâori Party,  4.03,  0.00,  6.04, 44.30, 14.09,  7.38,  3.36,  4.70, 16.11,100.00 
National Party,  3.61,  0.09,  0.47,  0.72, 92.37,  0.89,  0.88,  0.39,  0.57,100.00 
New Zealand Family Rights Protection Party,  0.00,  5.26,  5.26, 52.63, 21.05,  0.00, 10.53,  0.00,  5.26,100.00 
New Zealand First Party,  3.30,  0.00,  2.73, 12.13, 39.84, 39.41,  0.72,  1.08,  0.79,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00, 25.00,  0.00, 25.00, 25.00,  0.00,  0.00, 25.00,  0.00,100.00 
United Future New Zealand,  2.11,  0.00,  3.25,  8.46, 53.50,  0.65, 29.76,  1.30,  0.98,100.00 
Informal Party Votes,  0.72,  2.16,  2.16, 23.74, 10.79,  1.44,  1.44, 53.96,  3.60,100.00 
Overall Percentage,  3.40,  0.12,  2.57, 30.98, 56.72,  2.63,  1.36,  1.13,  1.08,100.00 
