50 Taranaki-King Country,"STEELE, Richard (ACT New Zealand)","JONES, Mark (Christian Heritage NZ)","HARRISON, Tony (Destiny New Zealand)","SMITH, William (Jim Anderton's Progressive)","STREET, Maryan (Labour Party)","ARDERN, Shane (National Party)","COPELAND, Anne (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00,  0.00, 50.00, 30.00, 20.00,  0.00,  0.00,100.00 
ACT New Zealand, 19.27,  0.61,  0.61,  0.61,  3.19, 74.20,  0.15,  0.76,  0.61,100.00 
Alliance,  0.00,  0.00,  0.00, 46.67, 40.00, 13.33,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  2.25,  2.25,  2.25,  2.25, 32.58, 32.58, 12.36,  6.74,  6.74,100.00 
Christian Heritage NZ,  2.86, 68.57,  7.14,  0.00,  2.86, 17.14,  1.43,  0.00,  0.00,100.00 
Democrats for Social Credit,  8.57,  0.00,  5.71, 17.14, 22.86, 25.71,  5.71, 14.29,  0.00,100.00 
Destiny New Zealand,  0.36,  2.87, 67.38,  0.72,  1.79, 23.30,  1.08,  0.36,  2.15,100.00 
Direct Democracy Party,  0.00, 16.67,  8.33,  0.00, 16.67, 41.67,  8.33,  8.33,  0.00,100.00 
Green Party,  2.83,  1.41,  0.71,  4.44, 62.93, 19.70,  2.42,  4.24,  1.31,100.00 
Jim Anderton's Progressive,  2.73,  2.34,  0.78, 43.36, 25.78, 20.70,  2.34,  1.56,  0.39,100.00 
Labour Party,  0.62,  0.27,  0.46,  2.05, 79.61, 12.96,  1.28,  1.75,  1.00,100.00 
Libertarianz, 10.00,  0.00,  0.00,  0.00,  0.00, 70.00, 10.00, 10.00,  0.00,100.00 
Mâori Party,  3.66,  1.57,  5.76,  7.33, 43.98, 16.23,  3.66, 12.04,  5.76,100.00 
National Party,  1.30,  0.30,  0.46,  0.20,  0.59, 95.61,  0.77,  0.35,  0.44,100.00 
New Zealand Family Rights Protection Party, 25.00, 12.50, 12.50, 37.50,  0.00, 12.50,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  3.23,  0.79,  2.56,  4.41, 18.20, 61.15,  3.11,  5.83,  0.71,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  7.69, 15.38, 53.85,  7.69, 15.38,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00,  0.00,  0.00, 37.50, 62.50,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  0.63,  2.04,  2.98,  0.94,  4.86, 57.99, 29.47,  0.63,  0.47,100.00 
Informal Party Votes,  0.72,  0.00,  0.72,  0.72, 12.95, 16.55,  2.16, 64.03,  2.16,100.00 
Overall Percentage,  1.73,  0.62,  1.34,  1.61, 24.51, 66.00,  1.80,  1.70,  0.69,100.00 
