51 Taupo,"JOLLANDS, Andrew (ACT New Zealand)","TE KOWHAI, Charles (Destiny New Zealand)","DAVIS, John (Green Party)","REEKS, David (Jim Anderton's Progressive)","BURTON, Mark (Labour Party)","MAEA, Billy (Mâori Party)","KIRTON, Weston Mervyn (National Party)","CAMPBELL SMITH, Kristin (New Zealand First Party)","POTROZ, Debra (The Republic of New Zealand Party)","CHECK, Paul (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00, 50.00, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
ACT New Zealand, 21.23,  0.00,  1.96,  0.56, 15.36,  0.56, 54.19,  2.23,  0.00,  2.51,  0.28,  1.12,100.00 
Alliance,  6.67,  0.00,  6.67, 13.33, 53.33,  0.00, 13.33,  0.00,  0.00,  6.67,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  0.00,  1.22, 26.83,  2.44, 37.80,  4.88,  9.76,  7.32,  1.22,  0.00,  3.66,  4.88,100.00 
Christian Heritage NZ,  0.00, 29.17,  0.00,  0.00, 33.33,  0.00, 16.67, 16.67,  0.00,  4.17,  0.00,  0.00,100.00 
Democrats for Social Credit,  0.00,  0.00, 13.33, 13.33, 26.67,  0.00, 13.33, 20.00,  0.00, 13.33,  0.00,  0.00,100.00 
Destiny New Zealand,  0.00, 75.35,  0.00,  0.00,  7.75,  3.52,  9.86,  0.70,  0.70,  0.70,  0.00,  1.41,100.00 
Direct Democracy Party,  0.00,  0.00, 25.00,  0.00,  0.00,  0.00, 25.00, 25.00,  0.00,  0.00, 25.00,  0.00,100.00 
Green Party,  0.64,  0.18, 24.61,  0.55, 64.59,  1.92,  4.12,  0.91,  0.09,  0.73,  0.64,  1.01,100.00 
Jim Anderton's Progressive,  0.00,  1.05,  1.40, 18.95, 67.02,  2.11,  5.26,  2.11,  0.00,  1.05,  0.35,  0.70,100.00 
Labour Party,  0.14,  0.20,  2.77,  0.46, 90.08,  1.80,  1.05,  1.12,  0.01,  0.51,  0.44,  1.42,100.00 
Libertarianz, 25.00,  8.33,  0.00,  0.00,  8.33,  8.33, 25.00, 16.67,  8.33,  0.00,  0.00,  0.00,100.00 
Mâori Party,  0.00,  1.18,  1.18,  0.00, 31.07, 57.10,  1.78,  1.18,  0.00,  0.89,  0.89,  4.73,100.00 
National Party,  1.21,  0.58,  0.81,  0.22,  9.83,  0.26, 82.07,  1.97,  0.01,  1.99,  0.55,  0.50,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00,  0.00, 80.00,  0.00,  0.00,  0.00,  0.00, 20.00,  0.00,  0.00,100.00 
New Zealand First Party,  0.48,  0.79,  0.92,  0.53, 29.68,  0.88, 24.86, 39.37,  0.18,  0.83,  0.96,  0.53,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 50.00, 50.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 50.00, 50.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  0.39,  2.47,  1.17,  0.91, 27.70,  1.95, 32.64,  1.43,  0.00, 30.30,  0.52,  0.52,100.00 
Informal Party Votes,  1.05,  0.00,  1.05,  0.00, 29.47,  2.11, 13.68,  2.11,  0.00,  1.05, 48.42,  1.05,100.00 
Overall Percentage,  0.93,  0.88,  2.54,  0.57, 44.75,  1.70, 40.40,  4.53,  0.04,  2.03,  0.70,  0.93,100.00 
