53 Te Atatu,"HAYCOCK, Bruce (ACT New Zealand)","van RUYSSEVELT, Bob (Alliance)","JENKINS, Betty (Christian Heritage NZ)","KOTOISUVA, John (Destiny New Zealand)","TRICHON, Gregory (Direct Democracy Party)","HUGHES, Adele (Equal Values Party)","DEWAR, Kath (Green Party)","ROY, Pavitra (Jim Anderton's Progressive)","CARTER, Chris (Labour Party)","MARTIN, Kelvin (Mâori Party)","HENARE, Tau (National Party)","BROWNE-KNOWLES, Stella Te Paeru (New Zealand Family Rights Protection Party)","DAVIS, Moetu (New Zealand First Party)","van KEMPEN, Jo (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 25.00, 75.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
ACT New Zealand, 29.56,  0.00,  0.60,  0.20,  0.00,  0.40,  0.20,  0.40, 29.37,  0.00, 33.93,  0.40,  0.20,  1.39,  2.78,  0.60,100.00 
Alliance,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00,  4.17, 41.67,  4.17,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  1.92,  0.00,  0.00,  0.00,  0.00,  3.85, 26.92,  1.92, 42.31,  0.00,  9.62,  0.00,  3.85,  1.92,  5.77,  1.92,100.00 
Christian Heritage NZ,  0.00,  0.00, 70.10,  4.12,  0.00,  1.03,  0.00,  0.00, 10.31,  2.06,  4.12,  1.03,  0.00,  5.15,  1.03,  1.03,100.00 
Democrats for Social Credit,  0.00,  0.00,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00,100.00 
Destiny New Zealand,  0.00,  0.00,  0.00, 82.70,  0.00,  0.00,  0.00,  0.00,  4.64,  0.00,  6.75,  0.00,  0.84,  1.69,  0.42,  2.95,100.00 
Direct Democracy Party,  0.00,  0.00,  0.00,  0.00, 69.57,  4.35,  0.00,  4.35, 13.04,  0.00,  4.35,  0.00,  0.00,  4.35,  0.00,  0.00,100.00 
Green Party,  0.56,  0.66,  0.09,  0.38,  0.19,  0.28, 22.46,  0.19, 67.11,  1.41,  2.91,  0.00,  0.56,  0.47,  0.56,  2.16,100.00 
Jim Anderton's Progressive,  0.00,  0.86,  1.15,  0.29,  0.29,  0.00,  1.73, 19.02, 69.16,  0.00,  4.61,  0.58,  0.29,  1.44,  0.29,  0.29,100.00 
Labour Party,  0.26,  0.17,  0.19,  0.38,  0.04,  0.08,  2.67,  0.64, 89.85,  0.57,  0.84,  0.19,  0.88,  0.50,  0.75,  2.00,100.00 
Libertarianz, 20.00,  0.00,  0.00,  0.00,  0.00,  0.00, 20.00,  0.00,  0.00,  0.00, 60.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Mâori Party,  0.46,  0.46,  0.00,  1.37,  0.00,  0.46,  2.28,  0.46, 26.03, 46.12,  7.31,  0.00,  1.37,  0.91,  1.37, 11.42,100.00 
National Party,  3.20,  0.30,  0.58,  1.18,  0.20,  0.61,  1.11,  0.25, 15.35,  0.11, 69.27,  0.13,  2.20,  3.72,  0.89,  0.91,100.00 
New Zealand Family Rights Protection Party,  0.99,  0.00,  0.99,  0.99,  0.99,  0.99,  0.00,  0.00, 65.35,  0.99,  0.99, 22.77,  0.00,  1.98,  0.99,  1.98,100.00 
New Zealand First Party,  0.87,  0.27,  0.82,  1.48,  0.38,  0.11,  1.64,  0.87, 31.09,  1.04, 23.22,  0.22, 34.37,  1.64,  1.04,  0.93,100.00 
OneNZ Party, 33.33,  0.00,  0.00,  0.00,  0.00, 16.67,  0.00,  0.00, 33.33,  0.00,  0.00,  0.00, 16.67,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00, 16.67,  0.00,  0.00, 16.67, 16.67,  0.00, 33.33,  0.00,  0.00,  0.00,  0.00, 16.67,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  0.10,  2.09,  2.93,  3.66,  0.10,  0.00,  1.36,  0.63, 17.26,  0.84, 25.94,  0.21,  1.36, 42.05,  1.05,  0.42,100.00 
Informal Party Votes,  0.57,  0.00,  0.00,  0.00,  0.00,  0.00,  1.14,  0.00, 28.98,  0.00,  5.68,  0.00,  2.27,  0.00, 59.66,  1.70,100.00 
Overall Percentage,  1.67,  0.33,  0.65,  1.42,  0.18,  0.27,  2.71,  0.72, 57.73,  0.80, 24.39,  0.25,  3.24,  2.86,  1.19,  1.58,100.00 
