54 Tukituki,"ORMOND, John (ACT New Zealand)","BURCH, Scott (Direct Democracy Party)","EARTH, Liz (Green Party)","BARKER, Rick (Labour Party)","TOMOANA, Ngahiwi (Mâori Party)","FOSS, Craig (National Party)","SMITH, Jocelyn (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  6.67,  6.67, 13.33, 46.67,  0.00, 20.00,  0.00,  6.67,  0.00,100.00 
ACT New Zealand, 20.15,  0.25,  1.23,  9.34,  0.25, 68.55,  0.25,  0.00,  0.00,100.00 
Alliance,  4.55,  0.00,  4.55, 77.27,  0.00, 13.64,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  2.30,  0.00, 33.33, 42.53,  5.75, 10.34,  0.00,  2.30,  3.45,100.00 
Christian Heritage NZ,  6.00,  2.00,  0.00, 28.00,  2.00, 34.00, 18.00,  8.00,  2.00,100.00 
Democrats for Social Credit,  0.00,  0.00,  7.69, 76.92,  0.00,  7.69,  0.00,  7.69,  0.00,100.00 
Destiny New Zealand,  2.73,  0.00,  2.19, 13.11,  5.46, 46.99, 26.23,  2.73,  0.55,100.00 
Direct Democracy Party, 10.00, 60.00,  0.00, 30.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.36,  0.07, 28.70, 59.50,  1.46,  8.08,  0.36,  0.36,  1.09,100.00 
Jim Anderton's Progressive,  1.31,  0.66,  3.06, 80.13,  1.31,  9.17,  3.06,  0.66,  0.66,100.00 
Labour Party,  0.40,  0.10,  4.00, 88.58,  1.77,  2.76,  0.47,  0.56,  1.36,100.00 
Libertarianz, 12.50, 12.50,  0.00, 25.00,  0.00, 37.50,  0.00, 12.50,  0.00,100.00 
Mâori Party,  0.39,  0.39,  3.52, 26.56, 57.81,  3.13,  0.39,  1.56,  6.25,100.00 
National Party,  1.36,  0.07,  0.66,  4.81,  0.24, 91.28,  0.96,  0.30,  0.32,100.00 
New Zealand Family Rights Protection Party, 12.50,  0.00,  0.00, 62.50,  0.00,  0.00, 12.50, 12.50,  0.00,100.00 
New Zealand First Party,  3.46,  0.38,  3.19, 33.59,  3.40, 46.49,  4.16,  4.54,  0.81,100.00 
OneNZ Party, 10.00,  0.00,  0.00, 10.00,  0.00, 60.00,  0.00, 20.00,  0.00,100.00 
The Republic of New Zealand Party, 16.67,  0.00, 16.67, 16.67, 16.67, 16.67,  0.00,  0.00, 16.67,100.00 
United Future New Zealand,  0.35,  0.35,  1.05, 18.34,  0.82, 43.57, 34.23,  0.82,  0.47,100.00 
Informal Party Votes,  0.00,  0.00,  0.74, 19.26,  1.48, 14.07,  0.00, 62.22,  2.22,100.00 
Overall Percentage,  1.28,  0.14,  3.29, 41.69,  1.52, 48.44,  1.88,  0.93,  0.83,100.00 
