57 Waitakere,"RIDDELL, John (ACT New Zealand)","ETHELL, Sandra (Alliance)","GREEN, Stan (Destiny New Zealand)","COVICH, Alona (Direct Democracy Party)","CLENDON, David (Green Party)","PARKYN, David (Jim Anderton's Progressive)","PILLAY, Lynne (Labour Party)","JOE, Charles (Mâori Party)","BENNETT, Paula (National Party)","ULBERG, John Frank (New Zealand Family Rights Protection Party)","STEWART, Brendan (New Zealand First Party)","BARAL, Hannah (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00, 14.29,  0.00, 14.29, 57.14,  0.00, 14.29,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
ACT New Zealand, 25.53,  0.47,  0.47,  0.23,  3.04,  0.23, 11.01,  0.47, 53.16,  0.23,  0.94,  0.70,  2.11,  1.41,100.00 
Alliance,  2.78, 50.00,  5.56,  0.00,  0.00,  8.33, 19.44,  2.78,  5.56,  2.78,  0.00,  0.00,  0.00,  2.78,100.00 
Aotearoa Legalise Cannabis Party,  4.60,  1.15,  0.00,  3.45, 28.74,  2.30, 29.89,  2.30, 11.49,  1.15,  6.90,  1.15,  0.00,  6.90,100.00 
Christian Heritage NZ,  1.72,  0.00, 29.31,  1.72,  3.45,  0.00, 17.24,  1.72, 18.97,  6.90,  3.45,  8.62,  6.90,  0.00,100.00 
Democrats for Social Credit,  0.00,  0.00,  0.00,  0.00, 33.33,  0.00, 16.67,  0.00,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00,100.00 
Destiny New Zealand,  0.00,  0.00, 77.09,  0.00,  0.88,  0.00,  5.29,  0.44,  8.37,  0.00,  1.32,  3.96,  0.00,  2.64,100.00 
Direct Democracy Party,  0.00,  0.00,  3.03, 84.85,  0.00,  6.06,  6.06,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.21,  0.16,  0.37,  0.16, 29.90,  0.47, 61.59,  1.10,  3.00,  0.05,  0.21,  0.53,  0.26,  2.00,100.00 
Jim Anderton's Progressive,  0.27,  0.27,  0.81,  0.27,  2.43, 28.11, 54.32,  1.35,  6.49,  0.00,  1.89,  1.89,  1.08,  0.81,100.00 
Labour Party,  0.34,  0.15,  0.31,  0.09,  5.66,  0.79, 85.20,  0.67,  1.01,  0.22,  1.46,  1.19,  0.63,  2.26,100.00 
Libertarianz, 37.50,  0.00,  0.00,  0.00,  0.00,  0.00, 25.00, 12.50, 12.50,  0.00, 12.50,  0.00,  0.00,  0.00,100.00 
Mâori Party,  0.47,  0.00,  0.94,  0.00,  4.23,  1.88, 27.23, 46.01,  1.88,  0.47,  1.88,  2.35,  0.47, 12.21,100.00 
National Party,  2.01,  0.10,  0.92,  0.19,  1.59,  0.19,  3.78,  0.10, 83.31,  0.07,  2.82,  3.36,  0.46,  1.09,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 17.86,  3.57,  7.14, 64.29,  3.57,  0.00,  3.57,  0.00,100.00 
New Zealand First Party,  0.61,  0.11,  0.72,  0.22,  2.33,  0.94, 23.20,  0.94, 23.98,  0.22, 42.80,  1.38,  1.00,  1.55,100.00 
OneNZ Party, 20.00,  0.00,  0.00,  0.00,  0.00,  0.00, 20.00, 20.00, 20.00,  0.00, 20.00,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party, 20.00,  0.00,  0.00,  0.00,  0.00, 20.00,  0.00,  0.00,  0.00,  0.00, 40.00, 20.00,  0.00,  0.00,100.00 
United Future New Zealand,  0.64,  0.11,  2.44,  0.21,  1.27,  0.74, 16.10,  1.06, 30.19,  0.21,  1.38, 44.49,  0.21,  0.95,100.00 
Informal Party Votes,  0.79,  0.79,  0.79,  0.00,  0.00,  1.57, 16.54,  0.00,  7.87,  0.00,  1.57,  0.79, 64.57,  4.72,100.00 
Overall Percentage,  1.29,  0.19,  1.22,  0.24,  5.30,  0.91, 47.51,  0.84, 32.19,  0.23,  4.20,  3.21,  0.86,  1.80,100.00 
