59 West Coast-Tasman,"GILL, Kevin (ACT New Zealand)","WILKINSON, Steven (Aotearoa Legalise Cannabis Party)","BLIGHT, Derek (Christian Heritage NZ)","DAVIES, Richard (Green Party)","HOLLAND, Lew (Jim Anderton's Progressive)","O'CONNOR, Damien Peter (Labour Party)","AUCHINVOLE, Chris (National Party)","OSBORNE, Milton (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00, 10.00,  0.00, 10.00, 10.00, 50.00, 20.00,  0.00,  0.00,  0.00,100.00 
ACT New Zealand, 14.94,  0.29,  0.57,  0.29,  0.00, 15.80, 66.38,  0.86,  0.57,  0.29,100.00 
Alliance,  0.00,  0.00,  0.00,  5.00, 15.00, 55.00, 25.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  0.00, 58.62,  0.00,  3.45,  0.57, 24.71,  9.20,  2.30,  0.00,  1.15,100.00 
Christian Heritage NZ,  0.76,  0.00, 76.34,  0.00,  0.00,  9.16, 12.21,  0.76,  0.76,  0.00,100.00 
Democrats for Social Credit,  6.67,  6.67,  0.00,  6.67,  6.67, 36.67, 26.67,  6.67,  3.33,  0.00,100.00 
Destiny New Zealand,  1.80,  2.70, 31.53,  3.60,  1.80, 16.22, 33.33,  5.41,  3.60,  0.00,100.00 
Direct Democracy Party,  0.00, 20.00, 10.00,  0.00,  0.00, 30.00, 20.00,  0.00, 10.00, 10.00,100.00 
Green Party,  0.03,  3.26,  0.21, 25.06,  0.17, 67.28,  1.96,  0.14,  0.34,  1.54,100.00 
Jim Anderton's Progressive,  0.18,  0.72,  1.25,  2.15, 21.51, 59.14, 11.65,  1.79,  1.43,  0.18,100.00 
Labour Party,  0.33,  1.28,  0.22,  5.11,  1.07, 86.44,  3.16,  0.89,  0.67,  0.82,100.00 
Libertarianz,  0.00,  9.52,  0.00,  4.76,  9.52, 38.10, 19.05,  9.52,  9.52,  0.00,100.00 
Mâori Party,  0.85,  5.93,  0.85, 15.25,  3.39, 47.46, 12.71,  5.93,  3.39,  4.24,100.00 
National Party,  0.70,  0.57,  0.59,  0.62,  0.17,  9.78, 85.18,  1.32,  0.61,  0.45,100.00 
New Zealand Family Rights Protection Party,  0.00, 25.00,  8.33,  8.33,  0.00, 33.33, 16.67,  0.00,  8.33,  0.00,100.00 
New Zealand First Party,  2.37,  3.06,  1.48,  2.56,  3.10, 33.22, 44.80,  4.44,  4.53,  0.44,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00,  0.00, 45.45, 36.36,  0.00, 18.18,  0.00,100.00 
The Republic of New Zealand Party, 10.00,  0.00,  0.00,  0.00,  0.00, 30.00, 20.00, 30.00, 10.00,  0.00,100.00 
United Future New Zealand,  1.23,  0.31,  2.87,  0.31,  0.41, 31.32, 37.36, 25.49,  0.51,  0.20,100.00 
Informal Party Votes,  0.76,  0.76,  0.00,  0.76,  0.00, 31.30, 16.03,  0.76, 47.33,  2.29,100.00 
Overall Percentage,  0.77,  1.59,  0.97,  4.71,  1.10, 46.84, 40.20,  2.03,  1.10,  0.68,100.00 
