61 Whangarei,"NEWMAN, Muriel (ACT New Zealand)","FORD, Tony (Destiny New Zealand)","ARMSTRONG, Moea (Green Party)","SHEPHERD, Viv (Jim Anderton's Progressive)","CHALMERS, Paul (Labour Party)","HUGHES, Helen Kay (Libertarianz)","TAWHIAO, Rangi Ngati Huna (Mâori Party)","HEATLEY, Phil (National Party)","DONNELLY, Brian (New Zealand First Party)","HUNT, Craig (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party, 25.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 75.00,  0.00,  0.00,  0.00,  0.00,100.00 
ACT New Zealand, 25.04,  0.14,  0.28,  0.14,  2.12,  0.00,  0.14, 68.74,  2.40,  0.28,  0.14,  0.57,100.00 
Alliance,  0.00,  0.00,  0.00,  5.26, 31.58,  0.00, 15.79, 31.58, 10.53,  5.26,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  0.00,  0.00, 27.16,  2.47,  7.41,  3.70,  6.17, 38.27,  8.64,  0.00,  2.47,  3.70,100.00 
Christian Heritage NZ,  0.00, 13.04,  0.00,  2.17,  4.35,  2.17,  0.00, 71.74,  6.52,  0.00,  0.00,  0.00,100.00 
Democrats for Social Credit, 13.04,  0.00,  8.70, 21.74,  8.70,  4.35,  0.00, 34.78,  4.35,  0.00,  4.35,  0.00,100.00 
Destiny New Zealand,  0.83, 45.83,  0.00,  0.00,  0.83,  0.00,  0.83, 46.67,  3.75,  0.42,  0.42,  0.42,100.00 
Direct Democracy Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,  1.46,  0.12, 26.64,  0.67, 48.18,  0.42,  1.40, 15.17,  4.49,  0.18,  0.42,  0.85,100.00 
Jim Anderton's Progressive,  2.93,  0.49,  2.20, 23.96, 39.85,  0.24,  0.49, 20.05,  8.07,  0.49,  0.24,  0.98,100.00 
Labour Party,  1.70,  0.13,  5.32,  1.23, 65.37,  0.16,  1.42, 16.80,  5.54,  0.23,  0.71,  1.38,100.00 
Libertarianz,  7.69,  0.00,  0.00,  2.56,  2.56, 53.85,  0.00, 23.08,  2.56,  2.56,  0.00,  5.13,100.00 
Mâori Party,  0.38,  0.76,  4.17,  0.00, 14.02,  0.00, 53.79, 12.88,  5.68,  0.00,  0.76,  7.58,100.00 
National Party,  3.46,  0.16,  0.26,  0.12,  0.44,  0.12,  0.10, 91.58,  2.73,  0.32,  0.27,  0.43,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00,  0.00, 66.67,  0.00,  0.00,  0.00, 33.33,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  2.39,  0.31,  0.62,  0.28,  7.40,  0.19,  0.16, 35.62, 51.85,  0.19,  0.44,  0.56,100.00 
OneNZ Party, 25.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 50.00, 25.00,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00, 33.33,  0.00, 16.67,  0.00, 16.67, 33.33,  0.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  2.51,  0.47,  0.94,  0.63,  5.81,  0.00,  0.16, 73.31,  2.51, 11.62,  0.63,  1.41,100.00 
Informal Party Votes,  0.85,  0.00,  0.85,  0.00, 12.82,  0.00,  0.85, 15.38,  2.56,  0.00, 65.81,  0.85,100.00 
Overall Percentage,  2.99,  0.50,  3.47,  0.87, 27.49,  0.22,  1.08, 52.96,  8.36,  0.47,  0.68,  0.89,100.00 
