63 Ikaroa-Rawhiti,"TE KANI, Tauha (Destiny New Zealand)","HOROMIA, Parekura (Labour Party)","POANANGA, Atareta (Mâori Party)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party, 20.00, 40.00, 40.00,  0.00,  0.00,100.00 
ACT New Zealand,  6.06, 24.24, 42.42, 18.18,  9.09,100.00 
Alliance,  0.00, 60.00, 40.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  3.40, 38.78, 53.74,  2.04,  2.04,100.00 
Christian Heritage NZ, 42.86,  0.00, 42.86, 14.29,  0.00,100.00 
Democrats for Social Credit,  0.00, 50.00,  0.00, 50.00,  0.00,100.00 
Destiny New Zealand, 88.33,  2.22,  7.22,  0.28,  1.94,100.00 
Direct Democracy Party,  0.00,  0.00,100.00,  0.00,  0.00,100.00 
Green Party,  2.03, 46.95, 47.40,  2.03,  1.58,100.00 
Jim Anderton's Progressive,  3.70, 61.11, 31.48,  3.70,  0.00,100.00 
Labour Party,  0.83, 72.96, 23.15,  1.16,  1.91,100.00 
Libertarianz,  0.00,  0.00,100.00,  0.00,  0.00,100.00 
Mâori Party,  1.05, 15.56, 80.75,  0.80,  1.84,100.00 
National Party, 10.22, 29.46, 44.29, 15.43,  0.60,100.00 
New Zealand Family Rights Protection Party, 14.29, 42.86, 42.86,  0.00,  0.00,100.00 
New Zealand First Party,  5.91, 46.34, 39.60,  7.21,  0.95,100.00 
OneNZ Party, 33.33, 66.67,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00, 33.33, 33.33, 33.33,  0.00,100.00 
United Future New Zealand, 34.29, 28.57, 32.86,  1.43,  2.86,100.00 
Informal Party Votes,  1.67, 22.92, 12.08, 60.42,  2.92,100.00 
Overall Percentage,  3.32, 51.38, 40.93,  2.59,  1.78,100.00 
