66 Te Tai Hauauru,"TE WANO, Hemi (Destiny New Zealand)","MASON, Errol (Labour Party)","TURIA, Tariana (Mâori Party)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00, 14.29, 71.43, 14.29,  0.00,100.00 
ACT New Zealand, 11.11, 25.93, 44.44, 18.52,  0.00,100.00 
Alliance, 33.33, 16.67, 50.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  2.99, 29.85, 55.22,  6.72,  5.22,100.00 
Christian Heritage NZ, 37.50, 37.50, 25.00,  0.00,  0.00,100.00 
Democrats for Social Credit,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Destiny New Zealand, 82.92,  2.80, 10.56,  1.55,  2.17,100.00 
Direct Democracy Party,  0.00, 42.86, 57.14,  0.00,  0.00,100.00 
Green Party,  0.87, 36.36, 57.34,  2.62,  2.80,100.00 
Jim Anderton's Progressive,  5.26, 47.37, 42.11,  0.00,  5.26,100.00 
Labour Party,  0.86, 51.39, 43.75,  1.87,  2.13,100.00 
Libertarianz, 33.33,  0.00, 33.33, 33.33,  0.00,100.00 
Mâori Party,  0.71,  2.89, 92.63,  1.13,  2.63,100.00 
National Party, 17.44, 19.75, 44.29, 17.13,  1.39,100.00 
New Zealand Family Rights Protection Party,  8.33, 33.33, 41.67, 16.67,  0.00,100.00 
New Zealand First Party,  6.19, 26.95, 59.98,  5.73,  1.15,100.00 
OneNZ Party,  0.00,  0.00,100.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand, 29.00, 18.00, 47.00,  5.00,  1.00,100.00 
Informal Party Votes,  1.72, 10.78, 24.14, 59.05,  4.31,100.00 
Overall Percentage,  3.34, 31.66, 59.53,  3.25,  2.22,100.00 
