01 Auckland Central,Total Party Votes,"UREN, Scott (ACT New Zealand)","DIVIS, Sarita (Alliance)","O'CONNELL, Kevin Patrick (Aotearoa Legalise Cannabis Party)","ROCHE, Denise (Green Party)","RAVLICH, Anthony George (Human Rights Party)","ROBSON, Justin (Jim Anderton's Progressive)","TIZARD, Judith (Labour Party)","KAYE, Nikki (National Party)","WOODS, Oliver (RAM - Residents Action Movement)","BEVIN, Kerry (The Republic of New Zealand Party)","GALEY-YOUNG, Aaron (United Future)","FORDE, Thomas (Independent)","GREENFIELD, Stephen (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1456, 11.81,  0.00,  0.55,  2.06,  0.00,  0.21,  3.85, 79.12,  0.14,  0.41,  0.14,  0.07,  0.27,  0.21,  1.17,100.00 
Alliance,     11,  0.00, 36.36,  9.09,  0.00,  0.00,  0.00, 18.18,  9.09,  0.00,  0.00,  0.00,  0.00,  9.09,  9.09,  9.09,100.00 
Aotearoa Legalise Cannabis Party,    101,  0.99,  0.00, 42.57, 11.88,  0.00,  0.00, 19.80, 14.85,  0.99,  0.00,  0.00,  0.00,  0.00,  0.99,  7.92,100.00 
Democrats for Social Credit,     10,  0.00,  0.00, 40.00, 10.00,  0.00,  0.00, 30.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 10.00, 10.00,100.00 
Family Party,     38,  2.63,  2.63,  0.00,  2.63,  5.26,  0.00, 18.42, 39.47,  0.00,  0.00,  5.26,  7.89,  0.00,  7.89,  7.89,100.00 
Green Party,   5446,  0.20,  0.15,  1.19, 36.61,  0.18,  0.31, 50.15,  7.33,  0.68,  0.07,  0.13,  0.39,  0.31,  0.33,  1.96,100.00 
Jim Anderton's Progressive,    226,  0.00,  0.00,  0.00,  7.96,  0.44, 28.32, 41.15, 15.93,  0.44,  0.00,  0.00,  0.44,  0.44,  0.88,  3.98,100.00 
Kiwi Party,     70,  1.43,  1.43,  0.00,  7.14,  5.71,  4.29, 18.57, 42.86,  0.00,  0.00,  7.14,  2.86,  0.00,  4.29,  4.29,100.00 
Labour Party,  12166,  0.31,  0.08,  0.92, 15.50,  0.10,  0.85, 75.11,  3.11,  0.31,  0.03,  0.12,  0.18,  0.08,  0.68,  2.61,100.00 
Libertarianz,     27, 22.22,  3.70,  3.70, 18.52,  3.70,  0.00,  7.41, 18.52,  0.00,  0.00,  0.00,  0.00,  0.00,  7.41, 14.81,100.00 
Maori Party,    328,  2.44,  0.61,  2.13, 24.39,  1.83,  3.96, 32.93, 19.21,  0.91,  0.00,  0.00,  0.30,  0.61,  2.74,  7.93,100.00 
National Party,  14112,  2.31,  0.04,  0.57,  3.07,  0.09,  0.18,  3.06, 87.24,  0.19,  0.08,  0.36,  0.14,  0.13,  0.49,  2.04,100.00 
New Zealand First Party,    806,  1.49,  0.37,  1.74,  9.93,  0.74,  3.97, 57.32, 17.37,  0.74,  0.25,  0.50,  0.62,  0.99,  2.11,  1.86,100.00 
New Zealand Pacific Party,     73,  2.74,  0.00,  0.00,  5.48,  1.37,  4.11, 64.38,  9.59,  1.37,  0.00,  0.00,  1.37,  1.37,  4.11,  4.11,100.00 
RAM - Residents Action Movement,     16,  6.25,  0.00,  6.25, 12.50,  6.25,  0.00,  0.00,  6.25, 56.25,  0.00,  0.00,  0.00,  0.00,  0.00,  6.25,100.00 
The Bill and Ben Party,    132,  0.76,  0.00,  5.30, 18.18,  6.06,  6.06, 20.45, 28.79,  0.76,  0.00,  0.00,  3.03,  0.00,  4.55,  6.06,100.00 
The Republic of New Zealand Party,     10,  0.00,  0.00,  0.00, 20.00,  0.00,  0.00, 10.00, 10.00,  0.00, 40.00,  0.00, 10.00,  0.00,  0.00, 10.00,100.00 
United Future,    168,  0.60,  0.00,  1.79,  4.76,  0.00,  0.60, 14.29, 43.45,  0.60,  0.60, 25.60,  0.60,  3.57,  1.79,  1.79,100.00 
Workers Party,     12,  0.00, 25.00,  8.33, 25.00,  8.33,  0.00,  0.00,  8.33,  8.33,  0.00,  0.00,  8.33,  0.00,  8.33,  0.00,100.00 
Informal Party Votes,    101,  0.00,  0.00,  0.99,  3.96,  0.99,  0.00, 13.86, 10.89,  3.96,  0.00,  0.00,  0.00,  0.00, 64.36,  0.99,100.00 
Total Party Votes and Percentages,  35309,  1.65,  0.11,  0.99, 13.01,  0.19,  0.78, 37.33, 41.57,  0.37,  0.09,  0.36,  0.24,  0.19,  0.82,  2.31,100.00 
