16 Hunua,Total Party Votes,"DOUGLAS, Roger Owen (ACT New Zealand)","KENWORTHY (SHAW), Fiona (Green Party)","NAEA, Frank (Kiwi Party)","CARTER, Jordan (Labour Party)","WHITEHEAD, Bruce (Libertarianz)","HUTCHISON, Paul (National Party)","MULFORD, Helen (New Zealand First Party)","DRILLER, Toni (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   2859, 32.56,  0.84,  0.24,  1.22,  0.31, 63.17,  0.31,  0.38,  0.24,  0.70,100.00 
Alliance,     16, 25.00, 12.50,  6.25, 31.25,  0.00, 12.50, 12.50,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    112,  8.93, 30.36,  2.68, 20.54,  0.89, 26.79,  0.89,  0.00,  1.79,  7.14,100.00 
Democrats for Social Credit,      7, 14.29, 42.86,  0.00,  0.00,  0.00, 28.57,  0.00,  0.00, 14.29,  0.00,100.00 
Family Party,     95, 10.53,  1.05,  5.26,  6.32,  0.00, 56.84,  3.16,  2.11,  7.37,  7.37,100.00 
Green Party,   1168,  4.45, 44.52,  0.43, 30.39,  0.34, 16.01,  0.86,  0.68,  0.51,  1.80,100.00 
Jim Anderton's Progressive,    194,  6.19, 10.31,  1.03, 41.75,  0.52, 26.80,  7.22,  3.61,  0.52,  2.06,100.00 
Kiwi Party,    130,  1.54,  0.00, 53.08,  2.31,  0.00, 34.62,  4.62,  2.31,  1.54,  0.00,100.00 
Labour Party,   6836,  2.88,  8.53,  0.51, 72.72,  0.12,  8.60,  3.16,  0.26,  1.05,  2.17,100.00 
Libertarianz,     10, 10.00, 10.00,  0.00, 10.00, 70.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Maori Party,    189,  8.47, 10.05,  3.17, 23.81,  0.53, 37.57,  4.76,  1.59,  3.70,  6.35,100.00 
National Party,  21032,  8.26,  1.17,  0.25,  0.55,  0.08, 87.50,  0.38,  0.32,  0.44,  1.06,100.00 
New Zealand First Party,   1516,  3.30,  2.37,  0.53, 23.88,  0.26, 25.13, 42.08,  0.20,  1.39,  0.86,100.00 
New Zealand Pacific Party,     21,  0.00,  0.00, 14.29, 52.38,  0.00, 23.81,  4.76,  0.00,  0.00,  4.76,100.00 
RAM - Residents Action Movement,      2,  0.00,  0.00, 50.00, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    199, 11.56, 13.07,  1.01, 13.07,  2.01, 50.75,  2.01,  2.51,  1.51,  2.51,100.00 
The Republic of New Zealand Party,      3,  0.00,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,    286,  6.64,  1.75,  3.15,  3.50,  0.00, 59.09,  0.70, 23.43,  0.70,  1.05,100.00 
Workers Party,      9,  0.00, 11.11,  0.00, 22.22,  0.00, 11.11,  0.00, 11.11, 33.33, 11.11,100.00 
Informal Party Votes,    118,  1.69,  3.39,  0.85,  8.47,  0.00, 16.95,  1.69,  0.00, 61.86,  5.08,100.00 
Total Party Votes and Percentages,  34802,  8.82,  4.38,  0.60, 17.42,  0.16, 62.98,  2.86,  0.56,  0.86,  1.35,100.00 
