17 Hutt South,Total Party Votes,"MITCHELL, Lindsay (ACT New Zealand)","HORROCKS, Virginia (Green Party)","CHIN, Camilia (Kiwi Party)","MALLARD, Trevor (Labour Party)","HOWISON, Phil (Libertarianz)","QUINN, Paul (National Party)","SMITH, Murray (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    950, 16.74,  1.68,  0.11,  9.68,  1.26, 68.00,  1.47,  0.53,  0.53,100.00 
Alliance,     45,  4.44, 11.11,  6.67, 48.89,  4.44, 11.11, 11.11,  0.00,  2.22,100.00 
Aotearoa Legalise Cannabis Party,    128,  3.13, 32.03,  3.91, 35.16,  2.34, 17.97,  0.00,  2.34,  3.13,100.00 
Democrats for Social Credit,      7, 14.29,  0.00, 14.29, 28.57,  0.00, 28.57,  0.00, 14.29,  0.00,100.00 
Family Party,     83,  2.41,  2.41, 16.87, 21.69,  0.00, 18.07, 25.30,  3.61,  9.64,100.00 
Green Party,   2655,  0.49, 35.89,  0.49, 53.67,  0.23,  6.55,  1.32,  0.34,  1.02,100.00 
Jim Anderton's Progressive,    305,  1.97, 14.43,  1.97, 57.70,  0.33, 11.15,  9.84,  1.97,  0.66,100.00 
Kiwi Party,    203,  0.00,  1.48, 55.17, 12.81,  0.00, 15.27, 12.81,  0.99,  1.48,100.00 
Labour Party,  14769,  0.47,  7.13,  0.49, 87.01,  0.07,  1.94,  0.53,  0.90,  1.46,100.00 
Libertarianz,     36,  0.00,  0.00,  2.78, 19.44, 58.33,  5.56,  5.56,  5.56,  2.78,100.00 
Maori Party,    293,  2.73, 19.11,  2.05, 47.10,  0.68, 18.09,  3.07,  1.02,  6.14,100.00 
National Party,  13057,  2.79,  2.65,  0.71,  6.95,  0.08, 83.14,  2.26,  0.78,  0.64,100.00 
New Zealand First Party,   1208,  1.41,  4.47,  2.98, 62.25,  1.41, 18.13,  5.05,  3.56,  0.75,100.00 
New Zealand Pacific Party,     63,  0.00,  1.59,  1.59, 85.71,  0.00,  7.94,  1.59,  1.59,  0.00,100.00 
RAM - Residents Action Movement,      8,  0.00, 50.00,  0.00, 12.50,  0.00, 25.00,  0.00, 12.50,  0.00,100.00 
The Bill and Ben Party,    197,  0.51, 18.27,  3.05, 33.50,  2.54, 34.01,  5.08,  1.52,  1.52,100.00 
The Republic of New Zealand Party,      3,  0.00,  0.00, 33.33, 66.67,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,    490,  1.43,  3.47,  1.43, 12.04,  0.20, 36.12, 45.31,  0.00,  0.00,100.00 
Workers Party,     12,  8.33, 25.00,  0.00, 25.00,  8.33, 16.67,  8.33,  0.00,  8.33,100.00 
Informal Party Votes,    157,  0.64,  0.64,  0.64, 28.03,  0.64,  3.82,  1.27, 61.78,  2.55,100.00 
Total Party Votes and Percentages,  34669,  1.89,  7.60,  1.10, 48.14,  0.27, 36.36,  2.34,  1.19,  1.11,100.00 
