18 Ilam,Total Party Votes,"DAVIDSON, Brian (ACT New Zealand)","GRAHAM, Kennedy (Green Party)","HUTCHINSON, Craig (Jim Anderton's Progressive)","WEUSTEN, David (Kiwi Party)","YAU, Sam (Labour Party)","BROWNLEE, Gerry (National Party)","PICKERING, John (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1422, 15.19,  2.95,  0.63,  1.27,  2.04, 76.09,  0.49,  0.35,  0.98,100.00 
Alliance,     35,  5.71,  5.71, 22.86,  2.86, 34.29, 14.29,  2.86, 11.43,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    118,  4.24, 34.75,  5.93,  1.69, 16.95, 30.51,  0.00,  2.54,  3.39,100.00 
Democrats for Social Credit,      6,  0.00,  0.00, 16.67, 33.33,  0.00,  0.00, 33.33, 16.67,  0.00,100.00 
Family Party,     61,  1.64,  9.84,  0.00, 13.11,  8.20, 59.02,  4.92,  3.28,  0.00,100.00 
Green Party,   3034,  0.49, 56.10,  1.15,  0.49, 27.75, 11.24,  0.56,  0.73,  1.48,100.00 
Jim Anderton's Progressive,    550,  0.55,  9.82, 40.36,  1.82, 29.82, 14.36,  1.09,  0.91,  1.27,100.00 
Kiwi Party,    199,  0.50,  3.52,  0.50, 51.26,  9.05, 28.64,  4.02,  1.01,  1.51,100.00 
Labour Party,  10168,  0.76, 17.14,  3.10,  0.38, 67.48,  8.02,  0.52,  1.17,  1.44,100.00 
Libertarianz,     21, 38.10,  4.76,  0.00,  0.00,  4.76, 42.86,  0.00,  4.76,  4.76,100.00 
Maori Party,    195,  3.59, 30.26,  1.54,  5.13, 29.23, 23.59,  2.05,  1.03,  3.59,100.00 
National Party,  19541,  2.13,  3.06,  0.53,  0.61,  1.55, 89.82,  0.94,  0.54,  0.81,100.00 
New Zealand First Party,    893,  1.46, 10.53, 11.76,  3.47, 38.52, 26.20,  1.79,  5.60,  0.67,100.00 
New Zealand Pacific Party,     20,  0.00, 15.00,  5.00, 20.00, 50.00, 10.00,  0.00,  0.00,  0.00,100.00 
RAM - Residents Action Movement,      2,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 50.00,100.00 
The Bill and Ben Party,    199,  2.01, 28.64,  2.51,  3.52, 17.59, 37.19,  2.01,  1.01,  5.53,100.00 
The Republic of New Zealand Party,      3,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,    516,  1.36,  6.01,  1.55,  4.46,  6.01, 51.55, 27.91,  0.58,  0.58,100.00 
Workers Party,     12,  0.00,  8.33, 25.00,  0.00, 25.00, 16.67,  0.00, 16.67,  8.33,100.00 
Informal Party Votes,    136,  0.00,  2.21,  0.74,  0.74, 12.50,  8.82,  0.00, 72.06,  2.94,100.00 
Total Party Votes and Percentages,  37131,  2.09, 11.97,  2.23,  1.06, 23.58, 55.61,  1.21,  1.15,  1.11,100.00 
