02 Bay of Plenty,Total Party Votes,"DENZ, Frances (ACT New Zealand)","CHRISTIANSEN, Tony (Kiwi Party)","DEVOY-HEENA, Carol (Labour Party)","RYALL, Tony (National Party)","BROWN, Peter (New Zealand First Party)","CARTER, Brian (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1067,  7.78,  5.90,  0.66, 83.22,  1.31,  0.37,  0.09,  0.66,100.00 
Alliance,     21,  0.00,  9.52, 19.05, 47.62,  9.52,  4.76,  4.76,  4.76,100.00 
Aotearoa Legalise Cannabis Party,    135,  4.44,  9.63, 31.85, 33.33, 11.85,  0.74,  3.70,  4.44,100.00 
Democrats for Social Credit,     18,  0.00, 22.22, 11.11, 38.89, 16.67, 11.11,  0.00,  0.00,100.00 
Family Party,     60,  0.00, 23.33, 10.00, 46.67, 10.00,  6.67,  1.67,  1.67,100.00 
Green Party,   1787,  0.90, 10.02, 42.98, 29.71, 10.41,  1.06,  3.58,  1.34,100.00 
Jim Anderton's Progressive,    175,  2.29, 16.57, 26.29, 30.29, 19.43,  1.14,  1.71,  2.29,100.00 
Kiwi Party,    734,  0.00, 71.80,  0.68, 25.07,  1.36,  0.27,  0.00,  0.82,100.00 
Labour Party,   7404,  0.50,  5.48, 59.68, 13.51, 17.87,  0.28,  1.04,  1.63,100.00 
Libertarianz,     25, 12.00, 20.00, 16.00, 36.00,  4.00,  0.00, 12.00,  0.00,100.00 
Maori Party,    258,  1.55, 11.24, 29.84, 29.07, 17.05,  1.16,  3.10,  6.98,100.00 
National Party,  21526,  0.85,  3.82,  0.30, 91.97,  1.64,  0.33,  0.29,  0.79,100.00 
New Zealand First Party,   3030,  0.26,  3.27, 10.26, 17.00, 67.56,  0.07,  0.63,  0.96,100.00 
New Zealand Pacific Party,     17,  0.00, 17.65, 11.76, 17.65, 47.06,  0.00,  5.88,  0.00,100.00 
RAM - Residents Action Movement,      9,  0.00, 11.11, 22.22, 11.11, 22.22,  0.00, 33.33,  0.00,100.00 
The Bill and Ben Party,    144,  0.69, 15.28, 12.50, 55.56, 11.81,  0.00,  2.78,  1.39,100.00 
The Republic of New Zealand Party,      3,  0.00, 33.33,  0.00, 33.33,  0.00,  0.00,  0.00, 33.33,100.00 
United Future,    258,  0.00, 13.18,  2.71, 60.47,  3.88, 18.22,  0.39,  1.16,100.00 
Workers Party,      3,  0.00,  0.00,  0.00, 33.33, 33.33,  0.00,  0.00, 33.33,100.00 
Informal Party Votes,    118,  0.00,  3.39, 10.17, 14.41,  9.32,  0.00, 60.17,  2.54,100.00 
Total Party Votes and Percentages,  36792,  0.94,  6.14, 15.76, 63.61, 11.11,  0.49,  0.88,  1.08,100.00 
