20 Kaikoura,Total Party Votes,"TATTERSFIELD, Dave (ACT New Zealand)","McCASKEY, John S J (Democrats for Social Credit)","BROWNING, Steffan (Green Party)","BELCHER, Al (Kiwi Party)","McNAMARA, Brian (Labour Party)","KING, Colin (National Party)","KING, Linda Waimarie (New Zealand First Party)","CHRISTIE, Coralie (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1101, 12.08,  0.36,  1.54,  1.18,  2.36, 80.65,  1.00,  0.09,  0.27,  0.45,100.00 
Alliance,     21,  4.76,  9.52,  9.52,  4.76, 33.33, 28.57,  0.00,  0.00,  9.52,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    107,  4.67,  1.87, 28.97,  4.67, 28.04, 20.56,  1.87,  0.93,  1.87,  6.54,100.00 
Democrats for Social Credit,     31,  0.00, 70.97,  3.23,  3.23,  9.68, 12.90,  0.00,  0.00,  0.00,  0.00,100.00 
Family Party,     41,  4.88,  0.00, 12.20, 19.51,  7.32, 46.34,  2.44,  4.88,  2.44,  0.00,100.00 
Green Party,   2499,  0.28,  0.44, 49.10,  1.76, 31.85, 14.77,  0.56,  0.16,  0.44,  0.64,100.00 
Jim Anderton's Progressive,    285,  1.40,  2.46, 14.39,  5.61, 38.95, 28.42,  5.61,  1.05,  2.11,  0.00,100.00 
Kiwi Party,    618,  0.81,  0.16,  1.46, 60.84,  5.99, 27.99,  1.29,  0.32,  0.81,  0.32,100.00 
Labour Party,  10046,  0.33,  0.23, 10.23,  2.23, 74.61,  8.67,  1.94,  0.16,  0.71,  0.90,100.00 
Libertarianz,      6,  0.00,  0.00,  0.00, 33.33,  0.00, 66.67,  0.00,  0.00,  0.00,  0.00,100.00 
Maori Party,    201,  0.50,  1.00, 16.92,  3.48, 32.84, 31.34,  3.98,  1.49,  5.47,  2.99,100.00 
National Party,  18479,  1.21,  0.09,  1.65,  1.69,  0.80, 92.62,  0.71,  0.27,  0.37,  0.59,100.00 
New Zealand First Party,   1631,  0.43,  0.74,  4.17,  4.54, 30.84, 23.67, 33.97,  0.06,  0.98,  0.61,100.00 
New Zealand Pacific Party,      6,  0.00,  0.00, 16.67,  0.00, 16.67, 50.00, 16.67,  0.00,  0.00,  0.00,100.00 
RAM - Residents Action Movement,      4, 25.00, 25.00,  0.00, 25.00,  0.00,  0.00, 25.00,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    223,  5.38,  1.35, 16.14,  9.87, 12.56, 43.05,  4.48,  1.35,  3.59,  2.24,100.00 
The Republic of New Zealand Party,      8, 12.50, 12.50, 12.50, 12.50, 25.00, 25.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,    331,  1.51,  0.60,  3.32,  5.44,  6.04, 67.07,  0.60, 13.90,  1.21,  0.30,100.00 
Workers Party,     12, 16.67,  8.33, 25.00,  8.33, 16.67, 25.00,  0.00,  0.00,  0.00,  0.00,100.00 
Informal Party Votes,    160,  0.00,  0.63,  2.50,  0.63, 12.50, 28.75,  2.50,  0.00, 51.88,  0.63,100.00 
Total Party Votes and Percentages,  35810,  1.24,  0.31,  7.88,  3.15, 25.96, 56.89,  2.68,  0.37,  0.82,  0.70,100.00 
