21 Mana,Total Party Votes,"COLLINS, Mike (ACT New Zealand)","GILCHRIST, Michael (Green Party)","MACLACHLAN, Renton (Kiwi Party)","LABAN, Winnie (Labour Party)","GOODE, Richard (Libertarianz)","PARATA, Hekia (National Party)","MANU, Tim Salele'a (New Zealand Pacific Party)","GUNSTON, Robin (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    819, 15.75,  2.32,  0.85,  9.89,  1.22, 68.01,  0.12,  1.10,  0.37,  0.37,100.00 
Alliance,     17,  5.88,  0.00,  5.88, 41.18,  0.00, 41.18,  0.00,  0.00,  5.88,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    133,  3.01, 28.57,  2.26, 39.10,  3.01, 14.29,  3.01,  1.50,  1.50,  3.76,100.00 
Democrats for Social Credit,      5,  0.00, 40.00,  0.00, 40.00,  0.00, 20.00,  0.00,  0.00,  0.00,  0.00,100.00 
Family Party,     85,  1.18,  2.35,  9.41, 29.41,  0.00, 25.88,  7.06, 15.29,  4.71,  4.71,100.00 
Green Party,   2903,  0.38, 31.97,  0.21, 60.52,  0.14,  4.58,  0.24,  0.55,  0.31,  1.10,100.00 
Jim Anderton's Progressive,    274,  2.55, 10.58,  1.82, 63.14,  1.09, 10.95,  2.55,  4.74,  1.46,  1.09,100.00 
Kiwi Party,    206,  0.97,  2.43, 59.22, 14.08,  0.00, 15.05,  2.43,  3.88,  0.49,  1.46,100.00 
Labour Party,  15209,  0.43,  5.14,  0.27, 89.54,  0.03,  1.30,  0.62,  0.47,  0.49,  1.71,100.00 
Libertarianz,     17,  5.88,  0.00,  0.00, 17.65, 76.47,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Maori Party,    356,  0.84, 11.80,  2.53, 54.21,  0.00, 18.54,  2.25,  1.69,  1.12,  7.02,100.00 
National Party,  12701,  2.94,  2.59,  0.69,  8.59,  0.14, 82.28,  0.37,  1.34,  0.51,  0.54,100.00 
New Zealand First Party,   1029,  1.46,  6.22,  2.53, 67.54,  0.39, 15.35,  1.55,  1.75,  2.62,  0.58,100.00 
New Zealand Pacific Party,    189,  0.53,  0.00,  1.06, 51.32,  0.00,  3.70, 40.74,  1.06,  0.00,  1.59,100.00 
RAM - Residents Action Movement,      5,  0.00,  0.00, 40.00, 40.00,  0.00,  0.00,  0.00,  0.00, 20.00,  0.00,100.00 
The Bill and Ben Party,    213,  6.10, 15.02,  4.23, 42.25,  1.41, 25.82,  0.94,  0.47,  2.82,  0.94,100.00 
The Republic of New Zealand Party,      2,  0.00,  0.00,  0.00, 50.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,    458,  0.22,  2.40,  1.53, 24.24,  0.00, 37.99,  0.66, 31.00,  1.09,  0.87,100.00 
Workers Party,     15,  0.00, 13.33,  0.00, 46.67,  0.00,  6.67,  6.67,  6.67,  6.67, 13.33,100.00 
Informal Party Votes,    123,  0.81,  2.44,  0.81, 29.27,  0.00,  3.25,  2.44,  0.00, 56.91,  4.07,100.00 
Total Party Votes and Percentages,  34759,  1.81,  6.58,  0.97, 51.99,  0.18, 34.28,  0.81,  1.36,  0.80,  1.23,100.00 
