23 Manukau East,Total Party Votes,"MURPHY, Lyn (ACT New Zealand)","VERMUNT, Annalucia (Communist League)","PAPALI'I, Papali'i Poutoa (Family Party)","WYND, Donna (Green Party)","BARNARD, Trevor (Jim Anderton's Progressive)","STITT, Kevin (Kiwi Party)","ROBERTSON, Ross (Labour Party)","BAKSHI, Kanwaljit Singh (National Party)","LEAVASA, Tevaga Sione (New Zealand Pacific Party)","HEAD, Manogi Turua (United Future)","WHITMORE, Daphna (Workers Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    439, 30.30,  0.00,  1.37,  0.91,  1.14,  1.14, 22.32, 38.95,  2.05,  0.00,  0.00,  0.68,  1.14,100.00 
Alliance,      9,  0.00,  0.00, 22.22, 11.11, 11.11,  0.00, 44.44,  0.00,  0.00,  0.00,  0.00,  0.00, 11.11,100.00 
Aotearoa Legalise Cannabis Party,     94,  3.19,  0.00,  3.19, 27.66,  0.00,  0.00, 42.55,  7.45,  2.13,  0.00,  1.06,  3.19,  9.57,100.00 
Democrats for Social Credit,      7, 28.57,  0.00, 14.29, 14.29,  0.00,  0.00, 14.29,  0.00, 14.29,  0.00,  0.00, 14.29,  0.00,100.00 
Family Party,    238,  1.26,  0.42, 58.40,  0.42,  0.84,  1.68, 18.49,  2.10,  6.30,  0.00,  0.42,  1.68,  7.98,100.00 
Green Party,    487,  0.00,  0.21,  0.62, 30.39,  1.44,  0.62, 59.14,  3.08,  1.03,  0.00,  0.62,  0.00,  2.87,100.00 
Jim Anderton's Progressive,    374,  0.80,  0.27,  0.53,  0.27, 25.94,  0.53, 48.93, 20.59,  1.07,  0.00,  0.00,  0.27,  0.80,100.00 
Kiwi Party,    102,  2.94,  0.00,  1.96,  0.00,  1.96, 33.33, 41.18,  6.86,  4.90,  0.98,  0.00,  1.96,  3.92,100.00 
Labour Party,  16137,  0.29,  0.02,  1.70,  1.48,  0.62,  0.10, 85.87,  1.58,  3.16,  0.07,  0.09,  1.10,  3.92,100.00 
Libertarianz,      6, 16.67,  0.00, 16.67,  0.00, 16.67,  0.00, 33.33, 16.67,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Maori Party,    276,  2.90,  0.00,  5.43, 11.59,  1.09,  1.09, 45.29,  5.07,  2.90,  0.36,  2.17,  0.36, 21.74,100.00 
National Party,   6579,  6.96,  0.00,  2.22,  1.96,  1.05,  0.91, 19.27, 62.88,  1.11,  0.82,  0.09,  1.19,  1.54,100.00 
New Zealand First Party,    999,  1.70,  0.00,  1.80,  3.20,  4.00,  1.20, 74.47,  6.71,  1.60,  0.50,  0.70,  2.50,  1.60,100.00 
New Zealand Pacific Party,   1219,  0.25,  0.16,  2.30,  0.00,  0.33,  0.82, 29.86,  0.90, 61.03,  0.08,  0.00,  0.49,  3.77,100.00 
RAM - Residents Action Movement,      9,  0.00,  0.00,  0.00, 22.22,  0.00, 11.11, 55.56, 11.11,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,     69,  8.70,  2.90,  1.45, 10.14,  0.00,  0.00, 57.97, 11.59,  2.90,  0.00,  2.90,  1.45,  0.00,100.00 
The Republic of New Zealand Party,      4,  0.00,  0.00,  0.00, 25.00,  0.00,  0.00, 25.00, 25.00,  0.00,  0.00,  0.00, 25.00,  0.00,100.00 
United Future,    126,  4.76,  0.00,  2.38,  0.00,  0.79,  2.38, 43.65, 15.87,  1.59, 27.78,  0.79,  0.00,  0.00,100.00 
Workers Party,     25,  0.00,  4.00,  0.00,  0.00,  0.00,  4.00, 12.00,  4.00, 12.00,  0.00, 56.00,  4.00,  4.00,100.00 
Informal Party Votes,    287,  0.00,  1.74,  1.05,  1.39,  0.35,  0.35, 31.36,  3.83,  2.44,  1.05,  0.00, 54.01,  2.44,100.00 
Total Party Votes and Percentages,  27486,  2.52,  0.06,  2.36,  2.28,  1.21,  0.56, 62.77, 17.50,  5.12,  0.41,  0.20,  1.67,  3.34,100.00 
