26 Mt Albert,Total Party Votes,"McCABE, Kathleen (ACT New Zealand)","CARAPIET, Jon (Green Party)","van den HEUVEL, Anthony Joseph (Human Rights Party)","DAWSON, Christian (Kiwi Party)","CLARK, Helen Elizabeth (Labour Party)","MUSUKU, Ravi (National Party)","SIILATA, Milo (New Zealand Pacific Party)","LLEWELL, Dave (The Republic of New Zealand Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1227, 24.04,  3.50,  0.24,  0.73, 17.03, 52.00,  0.24,  0.41,  0.73,  1.06,100.00 
Alliance,     19,  5.26, 10.53,  0.00,  0.00, 73.68,  5.26,  0.00,  0.00,  5.26,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    101,  1.98, 18.81,  1.98,  2.97, 44.55, 16.83,  3.96,  0.00,  0.00,  8.91,100.00 
Democrats for Social Credit,      7,  0.00, 14.29, 14.29,  0.00, 14.29, 28.57,  0.00, 14.29,  0.00, 14.29,100.00 
Family Party,     92,  3.26,  6.52,  3.26,  4.35, 34.78, 34.78,  4.35,  0.00,  5.43,  3.26,100.00 
Green Party,   3846,  0.47, 24.52,  0.34,  0.08, 68.75,  2.86,  0.18,  0.10,  0.31,  2.39,100.00 
Jim Anderton's Progressive,    244,  2.46,  6.56,  0.00,  3.69, 70.49,  8.61,  0.82,  1.23,  2.05,  4.10,100.00 
Kiwi Party,    157,  4.46,  1.27,  0.64, 38.22, 23.57, 27.39,  0.64,  0.64,  1.27,  1.91,100.00 
Labour Party,  14894,  0.17,  2.91,  0.07,  0.13, 92.36,  0.70,  0.42,  0.05,  0.58,  2.61,100.00 
Libertarianz,     16, 43.75,  0.00,  6.25,  0.00, 18.75, 18.75,  0.00,  6.25,  0.00,  6.25,100.00 
Maori Party,    273,  2.20, 15.02,  0.73,  2.56, 50.92,  8.79,  2.93,  0.37,  2.56, 13.92,100.00 
National Party,  12468,  7.86,  3.45,  0.28,  0.77, 16.50, 68.35,  0.22,  0.13,  0.79,  1.65,100.00 
New Zealand First Party,    936,  2.03,  3.95,  0.64,  2.56, 70.41, 13.68,  1.28,  0.43,  3.31,  1.71,100.00 
New Zealand Pacific Party,    273,  0.00,  0.37,  0.00,  0.00, 54.21,  4.76, 34.80,  0.00,  1.83,  4.03,100.00 
RAM - Residents Action Movement,     19,  5.26, 31.58,  5.26,  5.26, 36.84, 10.53,  0.00,  0.00,  5.26,  0.00,100.00 
The Bill and Ben Party,    132,  5.30, 13.64,  2.27,  1.52, 47.73, 22.73,  0.76,  0.76,  0.76,  4.55,100.00 
The Republic of New Zealand Party,     16,  6.25,  0.00,  0.00,  6.25, 37.50,  6.25,  0.00, 43.75,  0.00,  0.00,100.00 
United Future,    232,  5.17,  5.17,  1.72,  3.45, 34.05, 44.40,  1.29,  0.00,  2.59,  2.16,100.00 
Workers Party,     11,  0.00,  9.09, 18.18,  9.09, 45.45,  0.00,  9.09,  0.00,  0.00,  9.09,100.00 
Informal Party Votes,    256,  0.39,  2.73,  0.00,  0.39, 31.64,  4.30,  1.56,  0.78, 54.69,  3.52,100.00 
Total Party Votes and Percentages,  35219,  3.95,  5.73,  0.25,  0.71, 57.23, 27.84,  0.66,  0.15,  1.16,  2.31,100.00 
