31 New Plymouth,Total Party Votes,"ALBERS, Chris (ACT New Zealand)","DUYNHOVEN, Harry (Labour Party)","WEBBER, Mike (Libertarianz)","YOUNG, Jonathan (National Party)","KANE, Rusty (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1106,  9.31, 19.44,  0.54, 67.63,  2.98,  0.09,  0.00,100.00 
Alliance,     31,  3.23, 67.74,  0.00, 16.13,  3.23,  6.45,  3.23,100.00 
Aotearoa Legalise Cannabis Party,    166,  2.41, 56.02,  4.82, 18.07, 12.65,  2.41,  3.61,100.00 
Democrats for Social Credit,     43,  6.98, 51.16,  4.65, 16.28, 18.60,  2.33,  0.00,100.00 
Family Party,    141,  4.26, 28.37,  0.00, 53.19,  8.51,  2.84,  2.84,100.00 
Green Party,   2230,  1.61, 80.04,  1.12,  9.42,  5.16,  1.93,  0.72,100.00 
Jim Anderton's Progressive,    232,  1.72, 76.29,  1.72, 11.64,  7.33,  0.86,  0.43,100.00 
Kiwi Party,     78,  2.56, 30.77,  2.56, 57.69,  5.13,  1.28,  0.00,100.00 
Labour Party,  10901,  0.46, 94.37,  0.17,  2.28,  1.32,  0.63,  0.78,100.00 
Libertarianz,     27,  0.00,  3.70, 59.26, 29.63,  3.70,  0.00,  3.70,100.00 
Maori Party,    260,  0.77, 66.54,  0.38, 18.46,  8.46,  2.69,  2.69,100.00 
National Party,  17512,  1.30, 13.24,  0.17, 83.26,  1.21,  0.52,  0.30,100.00 
New Zealand First Party,   1404,  0.50, 67.66,  1.28, 19.44,  8.19,  2.14,  0.78,100.00 
New Zealand Pacific Party,     23,  4.35, 69.57,  0.00, 21.74,  0.00,  0.00,  4.35,100.00 
RAM - Residents Action Movement,      2,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    301,  2.33, 50.83,  2.33, 25.91, 13.95,  2.99,  1.66,100.00 
The Republic of New Zealand Party,      2,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,    227,  0.88, 37.89,  0.88, 54.19,  3.08,  3.08,  0.00,100.00 
Workers Party,     13,  0.00, 53.85, 15.38, 23.08,  7.69,  0.00,  0.00,100.00 
Informal Party Votes,    175,  0.00, 34.86,  0.57, 14.29,  0.57, 44.57,  5.14,100.00 
Total Party Votes and Percentages,  34874,  1.30, 47.12,  0.40, 47.43,  2.17,  1.00,  0.57,100.00 
