35 Ohariu,Total Party Votes,"du PLESSIS, Colin (ACT New Zealand)","BUCHANAN, Kelly (Alliance)","STRYPE, Danyl (Aotearoa Legalise Cannabis Party)","HUGHES, Gareth (Green Party)","SISON, Joel (Kiwi Party)","CHAUVEL, Charles (Labour Party)","SHANKS, Katrina (National Party)","DUNNE, Peter Francis (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1304, 12.19,  0.00,  0.69,  1.23,  0.84,  3.22, 36.50, 44.40,  0.31,  0.61,100.00 
Alliance,     55,  1.82, 18.18,  0.00, 10.91,  0.00, 49.09,  3.64, 16.36,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    119,  0.00,  0.00, 57.14,  6.72,  0.00, 13.45,  8.40, 12.61,  0.00,  1.68,100.00 
Democrats for Social Credit,      9, 11.11, 11.11,  0.00, 22.22, 11.11, 11.11, 11.11, 11.11, 11.11,  0.00,100.00 
Family Party,     65,  4.62,  0.00,  0.00,  4.62,  6.15,  9.23, 46.15, 24.62,  0.00,  4.62,100.00 
Green Party,   3488,  0.37,  0.49,  1.15, 33.03,  0.37, 43.41,  4.96, 15.11,  0.32,  0.80,100.00 
Jim Anderton's Progressive,    273,  0.73,  2.56,  0.00, 11.72,  2.20, 39.19,  8.79, 32.23,  1.47,  1.10,100.00 
Kiwi Party,    283,  1.06,  0.00,  0.35,  0.35, 63.25,  1.41, 11.31, 21.20,  0.00,  1.06,100.00 
Labour Party,  12728,  0.36,  0.30,  0.78,  8.29,  1.04, 69.29,  2.25, 16.01,  0.67,  1.02,100.00 
Libertarianz,     20, 35.00,  0.00, 10.00,  0.00,  0.00,  5.00, 45.00,  0.00,  5.00,  0.00,100.00 
Maori Party,    278,  1.08,  1.44,  1.80, 18.71,  2.52, 30.58, 14.39, 25.18,  1.08,  3.24,100.00 
National Party,  17670,  1.28,  0.07,  0.38,  1.58,  0.81,  1.19, 49.46, 44.32,  0.26,  0.65,100.00 
New Zealand First Party,    798,  1.88,  2.26,  1.50,  3.26,  2.01, 47.24, 12.53, 25.69,  3.38,  0.25,100.00 
New Zealand Pacific Party,     22,  0.00,  0.00,  4.55,  9.09,  0.00, 50.00,  9.09, 27.27,  0.00,  0.00,100.00 
RAM - Residents Action Movement,      7,  0.00, 14.29,  0.00, 42.86, 14.29,  0.00, 14.29,  0.00, 14.29,  0.00,100.00 
The Bill and Ben Party,    208,  2.40,  0.00, 11.06,  8.65,  2.40, 21.63, 16.35, 35.58,  1.44,  0.48,100.00 
The Republic of New Zealand Party,      7,  0.00,  0.00,  0.00, 14.29, 28.57,  0.00, 42.86, 14.29,  0.00,  0.00,100.00 
United Future,    843,  0.36,  0.24,  0.00,  0.36,  0.24,  2.14,  4.74, 90.98,  0.24,  0.71,100.00 
Workers Party,     11,  0.00,  0.00, 18.18, 27.27,  0.00, 27.27,  9.09, 18.18,  0.00,  0.00,100.00 
Informal Party Votes,     88,  0.00,  1.14,  0.00,  3.41,  0.00, 12.50,  5.68, 14.77, 61.36,  1.14,100.00 
Total Party Votes and Percentages,  38276,  1.27,  0.29,  0.86,  6.96,  1.36, 29.51, 26.15, 32.14,  0.63,  0.81,100.00 
