40 Port Hills,Total Party Votes,"RUSSELL, Geoff (ACT New Zealand)","McKENZIE, Andrew John (Alliance)","BURSTON, Joseph (Green Party)","CLEARWATER, Phil (Jim Anderton's Progressive)","GRAY, Wilton (Kiwi Party)","DYSON, Ruth (Labour Party)","HEFFERNAN, Terry (National Party)","LOOMES, Robin Andrew (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    868, 16.36,  0.58,  3.34,  0.58,  0.46,  5.41, 72.12,  0.00,  0.12,  1.04,100.00 
Alliance,     51,  0.00, 45.10,  3.92,  3.92,  0.00, 29.41, 13.73,  0.00,  1.96,  1.96,100.00 
Aotearoa Legalise Cannabis Party,    155,  1.94,  1.29, 30.32,  3.87,  3.87, 32.26, 18.06,  0.00,  3.23,  5.16,100.00 
Democrats for Social Credit,     14,  0.00,  0.00, 14.29, 21.43,  0.00, 35.71,  7.14, 14.29,  7.14,  0.00,100.00 
Family Party,     49,  4.08,  0.00,  2.04, 16.33,  8.16, 20.41, 30.61,  6.12,  4.08,  8.16,100.00 
Green Party,   5051,  0.14,  0.55, 31.28,  1.62,  0.24, 59.77,  4.51,  0.08,  0.44,  1.37,100.00 
Jim Anderton's Progressive,    958,  0.42,  0.94,  4.70, 38.00,  0.31, 46.24,  7.72,  0.63,  0.73,  0.31,100.00 
Kiwi Party,    285,  0.00,  0.70,  1.75,  3.86, 46.67, 18.95, 24.91,  0.35,  1.75,  1.05,100.00 
Labour Party,  13614,  0.25,  0.26,  8.32,  2.76,  0.23, 85.14,  0.94,  0.13,  0.41,  1.56,100.00 
Libertarianz,     17, 23.53,  0.00, 17.65,  5.88,  5.88, 17.65, 23.53,  0.00,  0.00,  5.88,100.00 
Maori Party,    250,  1.60,  0.40, 19.60,  8.00,  2.00, 42.40, 17.60,  2.00,  1.20,  5.20,100.00 
National Party,  13816,  2.06,  0.15,  3.37,  1.17,  0.65,  5.20, 85.34,  0.64,  0.48,  0.94,100.00 
New Zealand First Party,   1009,  0.69,  1.78,  4.86,  8.23,  2.28, 60.56, 16.25,  1.19,  3.57,  0.59,100.00 
New Zealand Pacific Party,     23,  0.00,  4.35,  4.35,  4.35,  8.70, 69.57,  4.35,  0.00,  4.35,  0.00,100.00 
RAM - Residents Action Movement,      2,  0.00, 50.00, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    152,  4.61,  1.32, 21.05,  3.95,  7.24, 32.89, 21.05,  1.97,  3.95,  1.97,100.00 
The Republic of New Zealand Party,      4,  0.00, 25.00,  0.00,  0.00, 25.00, 25.00, 25.00,  0.00,  0.00,  0.00,100.00 
United Future,    326,  0.00,  0.92,  3.68,  4.29,  2.45, 18.40, 47.85, 22.09,  0.31,  0.00,100.00 
Workers Party,     19,  0.00,  5.26, 21.05,  5.26, 15.79, 26.32, 15.79,  0.00,  5.26,  5.26,100.00 
Informal Party Votes,    132,  0.76,  0.00,  3.03,  0.00,  0.00, 22.73,  6.06,  0.00, 65.91,  1.52,100.00 
Total Party Votes and Percentages,  36795,  1.36,  0.42,  9.41,  3.11,  0.92, 45.75, 36.37,  0.58,  0.82,  1.26,100.00 
