42 Rangitikei,Total Party Votes,"THOMPSON, Jean (ACT New Zealand)","ANGUS BURNEY, Jills (Labour Party)","POWER, Simon (National Party)","LANGFORD, John (United Future)","GIBSON, Steve (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1448,  9.60,  2.28, 85.15,  0.55,  1.93,  0.28,  0.21,100.00 
Alliance,     33, 12.12, 36.36, 33.33,  9.09,  6.06,  0.00,  3.03,100.00 
Aotearoa Legalise Cannabis Party,    135,  5.93, 30.37, 38.52,  1.48, 11.85,  4.44,  7.41,100.00 
Democrats for Social Credit,     18,  0.00, 38.89, 22.22,  5.56, 27.78,  5.56,  0.00,100.00 
Family Party,     80,  7.50,  2.50, 53.75, 16.25, 12.50,  3.75,  3.75,100.00 
Green Party,   1836,  2.02, 62.04, 25.98,  1.03,  5.50,  2.23,  1.20,100.00 
Jim Anderton's Progressive,    309,  0.97, 48.54, 33.66,  3.24, 11.00,  2.59,  0.00,100.00 
Kiwi Party,    132,  5.30,  6.82, 61.36, 12.88, 10.61,  2.27,  0.76,100.00 
Labour Party,   9298,  0.69, 77.94, 16.63,  0.45,  2.20,  0.72,  1.37,100.00 
Libertarianz,     22, 27.27,  0.00, 54.55,  0.00, 18.18,  0.00,  0.00,100.00 
Maori Party,    307,  0.65, 36.48, 39.41,  3.91,  7.82,  2.93,  8.79,100.00 
National Party,  17711,  1.29,  0.73, 95.69,  0.30,  0.91,  0.32,  0.75,100.00 
New Zealand First Party,   1719,  0.87, 45.67, 38.51,  2.09,  7.45,  3.96,  1.45,100.00 
New Zealand Pacific Party,     17,  0.00, 35.29, 17.65, 17.65, 11.76, 17.65,  0.00,100.00 
RAM - Residents Action Movement,      2,  0.00,  0.00, 50.00,  0.00, 50.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    291,  3.78, 16.49, 63.92,  2.75,  9.62,  1.03,  2.41,100.00 
The Republic of New Zealand Party,      2,  0.00, 50.00,  0.00,  0.00,  0.00, 50.00,  0.00,100.00 
United Future,    388,  0.52,  4.38, 73.45, 18.04,  2.84,  0.52,  0.26,100.00 
Workers Party,     20,  5.00, 30.00, 10.00,  5.00, 40.00,  5.00,  5.00,100.00 
Informal Party Votes,    138,  0.72, 10.87, 22.46,  0.72,  2.17, 61.59,  1.45,100.00 
Total Party Votes and Percentages,  33906,  1.58, 28.78, 64.30,  0.88,  2.32,  1.07,  1.07,100.00 
