45 Rongotai,Total Party Votes,"BRIDGE, Michael (ACT New Zealand)","NORMAN, Russel (Green Party)","COPELAND, Gordon (Kiwi Party)","KING, Annette (Labour Party)","LEES, Mitch (Libertarianz)","FINLAYSON, Christopher (National Party)","MUTHU, Karuna (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    758, 14.91,  5.67,  3.30, 12.27,  0.92, 61.21,  0.53,  0.66,  0.53,100.00 
Alliance,     37,  0.00, 24.32,  5.41, 59.46,  2.70,  0.00,  5.41,  2.70,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    158,  1.90, 35.44,  3.16, 35.44,  8.23,  8.86,  2.53,  1.90,  2.53,100.00 
Democrats for Social Credit,      4,  0.00,  0.00,  0.00, 25.00, 25.00, 25.00,  0.00, 25.00,  0.00,100.00 
Family Party,     53,  0.00,  5.66, 11.32, 39.62,  0.00, 30.19,  5.66,  1.89,  5.66,100.00 
Green Party,   6464,  0.09, 46.92,  0.22, 48.64,  0.14,  2.32,  0.15,  0.23,  1.28,100.00 
Jim Anderton's Progressive,    291,  0.69, 17.53,  5.84, 66.32,  0.00,  6.87,  1.37,  1.03,  0.34,100.00 
Kiwi Party,    169,  0.59,  1.18, 79.88,  7.10,  0.00, 10.65,  0.00,  0.59,  0.00,100.00 
Labour Party,  16263,  0.28, 11.39,  0.32, 84.50,  0.10,  1.15,  0.19,  0.60,  1.47,100.00 
Libertarianz,     34,  2.94,  2.94,  0.00, 23.53, 50.00,  5.88,  0.00, 11.76,  2.94,100.00 
Maori Party,    351,  0.57, 25.07,  3.42, 48.72,  0.28, 11.97,  0.57,  3.70,  5.70,100.00 
National Party,  11950,  1.91,  5.19,  1.47, 10.87,  0.16, 78.23,  0.64,  0.47,  1.06,100.00 
New Zealand First Party,    960,  1.15,  7.92,  3.75, 63.23,  0.63, 17.40,  1.46,  3.54,  0.94,100.00 
New Zealand Pacific Party,     48,  0.00,  4.17,  2.08, 77.08,  2.08,  6.25,  2.08,  6.25,  0.00,100.00 
RAM - Residents Action Movement,      4,  0.00, 25.00,  0.00, 50.00,  0.00,  0.00,  0.00, 25.00,  0.00,100.00 
The Bill and Ben Party,    188,  5.32, 20.74,  2.13, 36.17,  3.72, 18.62,  4.26,  4.79,  4.26,100.00 
The Republic of New Zealand Party,      6,  0.00, 16.67,  0.00,  0.00, 33.33, 33.33, 16.67,  0.00,  0.00,100.00 
United Future,    326,  0.61,  8.90,  8.28, 26.69,  0.00, 35.28, 19.33,  0.31,  0.61,100.00 
Workers Party,     33,  0.00, 51.52,  6.06, 15.15,  0.00,  9.09,  0.00,  9.09,  9.09,100.00 
Informal Party Votes,    167,  0.60,  0.60,  0.60, 27.54,  0.00,  3.59,  0.00, 62.28,  4.79,100.00 
Total Party Votes and Percentages,  38264,  1.11, 15.48,  1.35, 51.26,  0.26, 27.69,  0.58,  0.93,  1.34,100.00 
