48 Tamaki,Total Party Votes,"SIMMONS, Chris (ACT New Zealand)","LECKINGER, Richard (Green Party)","TAYLOR, Ralph (Jim Anderton's Progressive)","BARTLEY, Josephine (Labour Party)","PEACHEY, Allan (National Party)","NABBS, Doug (New Zealand First Party)","GRAYDON, Gregory (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   3053, 15.23,  1.21,  0.10,  1.60, 80.35,  0.29,  0.39,  0.36,  0.46,100.00 
Alliance,      7,  0.00, 28.57, 42.86, 28.57,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,     65,  3.08, 33.85,  0.00, 13.85, 33.85,  3.08,  1.54,  1.54,  9.23,100.00 
Democrats for Social Credit,      3,  0.00,  0.00,  0.00, 66.67,  0.00, 33.33,  0.00,  0.00,  0.00,100.00 
Family Party,     46,  8.70,  6.52,  4.35, 15.22, 45.65,  0.00,  4.35,  8.70,  6.52,100.00 
Green Party,   2040,  1.72, 45.29,  1.27, 34.95, 14.36,  0.39,  0.39,  0.64,  0.98,100.00 
Jim Anderton's Progressive,    188,  0.53,  8.51, 35.11, 31.91, 19.68,  2.66,  1.06,  0.53,  0.00,100.00 
Kiwi Party,     79, 12.66,  0.00,  1.27,  8.86, 59.49,  2.53, 10.13,  3.80,  1.27,100.00 
Labour Party,   8152,  1.07,  9.03,  1.34, 77.39,  5.19,  1.71,  0.59,  1.56,  2.13,100.00 
Libertarianz,     20, 35.00,  5.00,  0.00,  5.00, 25.00,  5.00,  0.00, 15.00, 10.00,100.00 
Maori Party,    201,  4.48, 11.94,  3.48, 31.84, 25.87,  4.48,  4.48,  3.98,  9.45,100.00 
National Party,  23205,  4.44,  1.64,  0.19,  0.79, 90.77,  0.36,  0.43,  0.52,  0.86,100.00 
New Zealand First Party,    954,  1.05,  2.83,  2.52, 28.41, 23.69, 38.68,  0.94,  0.73,  1.15,100.00 
New Zealand Pacific Party,     98,  2.04,  0.00,  2.04, 78.57,  8.16,  3.06,  1.02,  3.06,  2.04,100.00 
RAM - Residents Action Movement,     19,  5.26, 15.79,  0.00, 26.32, 36.84,  0.00, 10.53,  5.26,  0.00,100.00 
The Bill and Ben Party,    104,  9.62, 21.15,  0.96, 25.96, 35.58,  1.92,  1.92,  0.96,  1.92,100.00 
The Republic of New Zealand Party,      2,  0.00,  0.00,  0.00, 50.00, 50.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,    294,  2.04,  5.44,  1.02, 10.20, 50.68,  1.70, 26.19,  1.36,  1.36,100.00 
Workers Party,      2,  0.00, 50.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Informal Party Votes,    152,  2.63,  1.32,  0.00, 15.79, 11.84,  0.66,  0.66, 62.50,  4.61,100.00 
Total Party Votes and Percentages,  38684,  4.35,  5.73,  0.75, 20.27, 64.27,  1.65,  0.73,  1.04,  1.20,100.00 
