05 Christchurch East,Total Party Votes,"PIESSE, Paul (Alliance)","LAMBERT, Paula (Aotearoa Legalise Cannabis Party)","McILRAITH, Nick (Democrats for Social Credit)","MATHERS, Mojo (Green Party)","SANDYS, Elspeth (Jim Anderton's Progressive)","LE CREN, Tony (Kiwi Party)","DALZIEL, Lianne (Labour Party)","GILMORE, Aaron (National Party)","SOLOMON, Maretta (United Future)","HOPKINSON, Paul (Workers Party)","PARK, Sevaschan Sam (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    664,  0.75,  1.51,  0.00,  3.46,  1.51,  1.05, 14.91, 72.89,  0.90,  0.30,  0.60,  1.05,  1.05,100.00 
Alliance,     62, 33.87,  0.00,  0.00,  3.23,  3.23,  0.00, 43.55, 12.90,  0.00,  0.00,  0.00,  0.00,  3.23,100.00 
Aotearoa Legalise Cannabis Party,    117,  0.85, 56.41,  0.00,  6.84,  1.71,  0.00, 24.79,  3.42,  0.00,  0.85,  0.85,  0.00,  4.27,100.00 
Democrats for Social Credit,     24,  4.17,  0.00, 37.50,  0.00,  0.00,  8.33, 33.33, 12.50,  0.00,  0.00,  4.17,  0.00,  0.00,100.00 
Family Party,     68,  0.00,  0.00,  0.00,  2.94,  5.88, 13.24, 27.94, 35.29,  7.35,  0.00,  1.47,  2.94,  2.94,100.00 
Green Party,   2489,  0.36,  1.21,  0.16, 31.14,  0.52,  0.20, 57.21,  6.63,  0.08,  0.28,  0.24,  0.44,  1.53,100.00 
Jim Anderton's Progressive,    696,  1.58,  0.29,  0.43,  3.02, 28.02,  0.86, 52.73, 11.06,  0.29,  0.14,  0.29,  0.57,  0.72,100.00 
Kiwi Party,    269,  0.37,  0.00,  0.00,  1.49,  0.37, 55.39, 11.15, 26.77,  0.74,  0.37,  0.37,  0.37,  2.60,100.00 
Labour Party,  15585,  0.21,  0.99,  0.07,  4.57,  1.17,  0.20, 88.84,  1.91,  0.09,  0.15,  0.14,  0.39,  1.26,100.00 
Libertarianz,     14,  0.00, 21.43,  0.00,  0.00,  7.14, 14.29,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00,  7.14,100.00 
Maori Party,    176,  1.14,  0.57,  0.00, 11.36,  2.27,  2.27, 57.95, 10.23,  2.27,  0.00,  1.70,  2.27,  7.95,100.00 
National Party,  12289,  0.15,  0.90,  0.03,  1.56,  0.44,  0.92,  7.28, 86.24,  0.59,  0.22,  0.43,  0.35,  0.88,100.00 
New Zealand First Party,   1352,  1.04,  0.81,  0.59,  3.48,  6.66,  2.59, 63.98, 14.64,  0.89,  0.59,  1.04,  2.74,  0.96,100.00 
New Zealand Pacific Party,     54,  0.00,  0.00,  0.00,  0.00,  3.70,  3.70, 70.37, 11.11,  1.85,  0.00,  3.70,  1.85,  3.70,100.00 
RAM - Residents Action Movement,      5,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 20.00, 60.00,  0.00, 20.00,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    210,  0.48, 14.29,  0.00, 12.86,  2.38,  0.95, 33.81, 29.05,  0.48,  0.48,  0.95,  1.90,  2.38,100.00 
The Republic of New Zealand Party,      1,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,    326,  0.31,  0.00,  0.31,  1.84,  1.53,  3.07, 20.55, 45.09, 25.15,  0.00,  0.31,  1.23,  0.61,100.00 
Workers Party,     26,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 23.08, 11.54,  0.00, 65.38,  0.00,  0.00,  0.00,100.00 
Informal Party Votes,    202,  0.00,  0.00,  0.00,  1.49,  1.98,  0.50, 37.13, 14.36,  0.00,  0.00,  0.50, 43.56,  0.50,100.00 
Total Party Votes and Percentages,  34629,  0.34,  1.20,  0.12,  5.32,  1.66,  1.09, 51.89, 35.24,  0.59,  0.26,  0.33,  0.77,  1.18,100.00 
