50 Taupo,Total Party Votes,"BURTON, Mark (Labour Party)","UPSTON, Louise (National Party)","EDWARDS, Max (United Future)","BLOXHAM, Martin (Independent)","MAC, Robbie (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1245,  8.19, 86.27,  2.01,  1.12,  1.20,  0.72,  0.48,100.00 
Alliance,     20, 45.00, 30.00,  5.00,  0.00, 10.00,  5.00,  5.00,100.00 
Aotearoa Legalise Cannabis Party,    119, 54.62, 22.69,  1.68,  3.36, 12.61,  0.84,  4.20,100.00 
Democrats for Social Credit,     23, 21.74,  4.35, 17.39, 26.09, 13.04, 17.39,  0.00,100.00 
Family Party,     61, 27.87, 40.98, 19.67,  3.28,  6.56,  0.00,  1.64,100.00 
Green Party,   1599, 71.73, 18.57,  1.38,  2.38,  3.25,  1.88,  0.81,100.00 
Jim Anderton's Progressive,    236, 70.76, 15.68,  3.81,  2.54,  3.81,  2.12,  1.27,100.00 
Kiwi Party,    133, 22.56, 51.13, 15.04,  3.01,  4.51,  3.76,  0.00,100.00 
Labour Party,  10359, 94.44,  2.16,  0.33,  0.53,  0.31,  0.71,  1.52,100.00 
Libertarianz,     13, 23.08, 61.54,  0.00,  7.69,  7.69,  0.00,  0.00,100.00 
Maori Party,    325, 63.38, 19.69,  3.08,  1.54,  2.15,  3.69,  6.46,100.00 
National Party,  19001,  4.65, 92.99,  0.65,  0.20,  0.44,  0.52,  0.56,100.00 
New Zealand First Party,   1824, 62.28, 24.07,  2.25,  2.74,  3.34,  4.33,  0.99,100.00 
New Zealand Pacific Party,     22, 95.45,  4.55,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
RAM - Residents Action Movement,      0,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    199, 40.20, 41.71,  1.51,  5.03,  7.54,  0.00,  4.02,100.00 
The Republic of New Zealand Party,      3,  0.00,  0.00,  0.00,  0.00,  0.00, 66.67, 33.33,100.00 
United Future,    284, 17.61, 54.23, 23.59,  0.70,  2.11,  1.41,  0.35,100.00 
Workers Party,      6, 50.00,  0.00, 33.33,  0.00, 16.67,  0.00,  0.00,100.00 
Informal Party Votes,    201, 29.35, 16.92,  0.50,  0.50,  0.50, 49.75,  2.49,100.00 
Total Party Votes and Percentages,  35673, 38.59, 56.66,  1.06,  0.66,  0.88,  1.19,  0.97,100.00 
