51 Tauranga,Total Party Votes,"SCOTT, Ron (ACT New Zealand)","RANSOM, Katherine (Democrats for Social Credit)","SUMMERHAYS, Karen (Green Party)","BALDOCK, Larry (Kiwi Party)","PANKHURST, Anne (Labour Party)","BRIDGES, Simon (National Party)","PETERS, Winston (New Zealand First Party)","MACARTNEY, David (The Republic of New Zealand Party)","WILLOCKS, John D (United Future)","EATWELL, Gray (Independent)","LEAMING, Terry (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1086,  6.54,  0.00,  0.55,  2.58,  0.37, 84.35,  4.51,  0.00,  0.00,  0.74,  0.09,  0.00,  0.28,100.00 
Alliance,     15,  0.00,  0.00,  0.00,  6.67,  6.67, 26.67, 33.33,  0.00,  0.00, 13.33,  6.67,  6.67,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    140,  0.00,  0.00, 22.86,  2.86,  7.14, 27.86, 30.71,  1.43,  0.71,  1.43,  0.00,  0.71,  4.29,100.00 
Democrats for Social Credit,     27,  0.00, 40.74,  3.70, 11.11,  0.00,  3.70, 29.63,  0.00,  0.00,  0.00,  3.70,  3.70,  3.70,100.00 
Family Party,     81,  0.00,  1.23,  1.23, 13.58,  2.47, 60.49, 13.58,  0.00,  0.00,  3.70,  1.23,  0.00,  2.47,100.00 
Green Party,   1721,  0.06,  0.12, 32.25,  2.50, 11.45, 26.90, 23.42,  0.06,  0.17,  0.70,  0.12,  0.87,  1.39,100.00 
Jim Anderton's Progressive,    178,  1.12,  0.00,  7.30,  8.43, 13.48, 29.78, 34.27,  0.00,  1.12,  1.12,  0.56,  1.69,  1.12,100.00 
Kiwi Party,    897,  0.11,  0.22,  0.67, 74.02,  0.22, 18.06,  5.24,  0.00,  0.11,  0.67,  0.00,  0.11,  0.56,100.00 
Labour Party,   8504,  0.25,  0.07,  7.64,  2.46, 28.77, 11.47, 46.13,  0.07,  0.13,  0.34,  0.14,  0.59,  1.94,100.00 
Libertarianz,     21, 14.29,  0.00,  4.76,  9.52,  4.76, 23.81,  9.52,  0.00, 14.29,  0.00,  4.76,  9.52,  4.76,100.00 
Maori Party,    215,  0.47,  0.00, 11.63,  5.58,  8.37, 30.70, 32.09,  0.00,  0.00,  0.47,  0.47,  0.47,  9.77,100.00 
National Party,  20418,  0.55,  0.02,  0.68,  3.79,  0.26, 87.58,  5.64,  0.01,  0.12,  0.14,  0.02,  0.22,  0.96,100.00 
New Zealand First Party,   3804,  0.00,  0.08,  0.26,  1.47,  1.76,  5.18, 90.01,  0.05,  0.03,  0.18,  0.03,  0.34,  0.60,100.00 
New Zealand Pacific Party,      9,  0.00,  0.00, 11.11, 33.33,  0.00, 11.11, 44.44,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
RAM - Residents Action Movement,      2, 50.00,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    179,  1.68,  0.56,  8.94,  2.79,  3.91, 47.49, 25.70,  0.00,  0.56,  3.91,  1.68,  1.12,  1.68,100.00 
The Republic of New Zealand Party,     26,  0.00,  0.00,  3.85,  3.85, 34.62, 11.54, 23.08, 23.08,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,    257,  0.00,  0.00,  0.78, 22.96,  1.17, 54.47,  7.78,  0.39, 10.89,  0.78,  0.00,  0.00,  0.78,100.00 
Workers Party,     14,  0.00,  7.14,  7.14,  7.14,  0.00, 21.43, 35.71,  0.00,  7.14,  0.00,  0.00, 14.29,  0.00,100.00 
Informal Party Votes,    147,  0.00,  0.00,  0.68,  1.36,  6.80,  4.76, 21.09,  0.00,  0.00,  0.68,  0.00, 62.59,  2.04,100.00 
Total Party Votes and Percentages,  37741,  0.57,  0.08,  3.87,  5.02,  7.57, 55.78, 24.67,  0.05,  0.20,  0.29,  0.08,  0.61,  1.21,100.00 
