54 Waikato,Total Party Votes,"DAVIES, Mark (ACT New Zealand)","PEMBERTON, John (Democrats for Social Credit)","HARPER, Wendy (Green Party)","ROSS, James (Kiwi Party)","ARDERN, Jacinda (Labour Party)","TISCH, Lindsay (National Party)","STEWART, Barbara (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   2088, 16.14,  0.24,  1.10,  0.43,  2.30, 77.68,  1.29,  0.34,  0.48,100.00 
Alliance,     25,  0.00,  4.00, 16.00,  0.00, 20.00, 48.00,  0.00,  8.00,  4.00,100.00 
Aotearoa Legalise Cannabis Party,    123,  8.13,  0.00, 28.46,  3.25, 23.58, 26.02,  6.50,  1.63,  2.44,100.00 
Democrats for Social Credit,     40,  0.00, 80.00,  0.00,  2.50, 10.00,  7.50,  0.00,  0.00,  0.00,100.00 
Family Party,     87,  2.30,  0.00,  8.05, 20.69,  9.20, 50.57,  6.90,  1.15,  1.15,100.00 
Green Party,   1271,  0.47,  0.63, 43.12,  0.47, 40.52, 12.82,  1.02,  0.24,  0.71,100.00 
Jim Anderton's Progressive,    188,  4.26,  2.13,  4.79,  3.19, 45.21, 30.32,  5.85,  3.19,  1.06,100.00 
Kiwi Party,    171,  1.17,  0.58,  0.00, 53.80,  2.34, 40.35,  1.17,  0.58,  0.00,100.00 
Labour Party,   7280,  0.89,  0.29,  7.43,  0.26, 79.45,  4.66,  4.12,  0.92,  1.98,100.00 
Libertarianz,     15, 40.00,  6.67, 13.33,  6.67,  0.00, 13.33,  0.00, 13.33,  6.67,100.00 
Maori Party,    235,  3.40,  1.28, 15.32,  2.55, 40.85, 22.13,  2.98,  2.55,  8.94,100.00 
National Party,  18532,  3.30,  0.17,  1.11,  0.45,  0.90, 92.06,  0.77,  0.30,  0.96,100.00 
New Zealand First Party,   1708,  0.64,  0.47,  2.05,  0.64, 26.05, 20.37, 47.72,  0.94,  1.11,100.00 
New Zealand Pacific Party,      4,  0.00,  0.00,  0.00, 25.00,  0.00, 25.00, 25.00,  0.00, 25.00,100.00 
RAM - Residents Action Movement,      3, 33.33,  0.00,  0.00,  0.00, 66.67,  0.00,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    195,  4.62,  1.54, 14.36,  6.15, 21.03, 44.10,  3.08,  3.08,  2.05,100.00 
The Republic of New Zealand Party,      1,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,100.00 
United Future,    285,  4.56,  1.05,  2.81,  2.46,  9.47, 70.53,  4.91,  2.46,  1.75,100.00 
Workers Party,      8,  0.00, 12.50, 25.00, 12.50,  0.00, 50.00,  0.00,  0.00,  0.00,100.00 
Informal Party Votes,    107,  0.00,  0.00,  0.93,  0.93, 12.15, 25.23,  0.93, 57.94,  1.87,100.00 
Total Party Votes and Percentages,  32366,  3.36,  0.38,  4.59,  0.86, 22.47, 62.17,  4.18,  0.76,  1.24,100.00 
