57 Waitakere,Total Party Votes,"RIDDELL, John G (ACT New Zealand)","ETHELL, Sandra (Alliance)","KIDD, Michael (Family Party)","STEWART, Gary (Green Party)","PILLAY, Lynne (Labour Party)","BENNETT, Paula (National Party)","McNAIR, Craig (New Zealand First Party)","MISA TUPOU, Fia (New Zealand Pacific Party)","BECKMANNFLAY, Rita (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1067, 14.15,  0.19,  0.66,  2.16,  4.78, 75.16,  0.47,  0.09,  0.84,  0.66,  0.84,100.00 
Alliance,     42,  0.00, 42.86,  2.38,  0.00, 23.81, 26.19,  0.00,  0.00,  2.38,  0.00,  2.38,100.00 
Aotearoa Legalise Cannabis Party,    166,  2.41,  0.00,  1.20, 29.52, 28.31, 21.08,  3.01,  0.00,  3.61,  1.20,  9.64,100.00 
Democrats for Social Credit,      7,  0.00,  0.00, 14.29, 14.29, 57.14, 14.29,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Family Party,    136,  0.00,  0.74, 59.56,  0.74,  9.56, 22.79,  1.47,  2.21,  0.74,  0.00,  2.21,100.00 
Green Party,   2032,  0.10,  0.44,  0.25, 31.64, 56.05,  8.86,  0.25,  0.15,  0.30,  0.25,  1.72,100.00 
Jim Anderton's Progressive,    225,  1.78,  2.22,  2.22, 11.11, 60.00, 17.33,  1.33,  1.33,  0.89,  0.89,  0.89,100.00 
Kiwi Party,    106,  4.72,  0.94, 27.36,  0.94,  9.43, 40.57,  3.77,  0.94,  0.94,  6.60,  3.77,100.00 
Labour Party,  12498,  0.34,  0.12,  0.52,  5.15, 84.10,  3.18,  0.98,  1.49,  0.10,  0.90,  3.11,100.00 
Libertarianz,     14,  7.14,  7.14,  7.14, 21.43,  7.14, 35.71,  0.00,  0.00,  0.00, 14.29,  0.00,100.00 
Maori Party,    241,  0.41,  0.00,  5.39, 16.18, 36.10, 20.75,  4.56,  0.41,  1.24,  1.66, 13.28,100.00 
National Party,  12952,  1.94,  0.13,  0.82,  1.51,  2.29, 90.37,  0.49,  0.22,  0.32,  0.37,  1.54,100.00 
New Zealand First Party,   1117,  0.45,  0.18,  0.90,  2.24, 46.55, 14.32, 32.05,  0.45,  0.81,  0.45,  1.61,100.00 
New Zealand Pacific Party,    398,  0.00,  0.00,  2.01,  0.50, 33.42,  4.02,  1.01, 52.26,  0.25,  1.26,  5.28,100.00 
RAM - Residents Action Movement,     10, 10.00,  0.00,  0.00, 20.00, 30.00, 20.00, 10.00,  0.00, 10.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    168,  4.17,  2.38,  1.79,  7.74, 28.57, 37.50,  2.38,  1.19,  5.95,  3.57,  4.76,100.00 
The Republic of New Zealand Party,      5,  0.00,  0.00, 20.00,  0.00, 60.00, 20.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,    224,  2.68,  0.89,  8.48,  2.68, 10.27, 66.52,  2.68,  2.23,  0.89,  1.34,  1.34,100.00 
Workers Party,     15,  0.00,  6.67,  0.00, 20.00, 53.33,  6.67,  0.00,  0.00,  6.67,  0.00,  6.67,100.00 
Informal Party Votes,    149,  0.67,  0.00,  0.67,  0.67, 19.46,  8.72,  1.34,  0.67,  0.67, 61.07,  6.04,100.00 
Total Party Votes and Percentages,  31572,  1.53,  0.25,  1.13,  5.31, 41.40, 43.41,  1.89,  1.42,  0.34,  0.95,  2.38,100.00 
