06 Clutha-Southland,Total Party Votes,"HENDERSON, Roly (ACT New Zealand)","HUBBARD, Marvin (Alliance)","TANKARD, Paul (Family Party)","GOW, Tim (Green Party)","PRYDE, Don (Labour Party)","ENGLISH, Bill (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1315, 12.78,  0.15,  1.06,  1.83,  2.05, 81.14,  0.68,  0.30,100.00 
Alliance,     63,  4.76, 34.92,  1.59,  6.35, 25.40, 26.98,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    131,  3.82,  0.00,  3.05, 27.48, 28.24, 32.06,  2.29,  3.05,100.00 
Democrats for Social Credit,     18,  5.56, 11.11, 16.67, 16.67, 27.78,  5.56, 16.67,  0.00,100.00 
Family Party,    193,  1.55,  0.00, 55.44,  3.63,  4.15, 33.16,  0.00,  2.07,100.00 
Green Party,   1726,  0.70,  0.35,  1.27, 51.51, 25.55, 18.48,  1.04,  1.10,100.00 
Jim Anderton's Progressive,    226,  4.42,  3.54,  5.31, 10.18, 46.46, 25.66,  2.65,  1.77,100.00 
Kiwi Party,    131,  4.58,  3.05, 22.14,  3.05,  9.16, 54.20,  0.76,  3.05,100.00 
Labour Party,   8091,  0.75,  0.54,  1.08, 11.44, 72.76, 11.17,  1.42,  0.83,100.00 
Libertarianz,     16, 31.25,  0.00, 12.50,  0.00,  6.25, 43.75,  6.25,  0.00,100.00 
Maori Party,    141,  2.84,  0.71,  5.67, 16.31, 28.37, 32.62,  2.84, 10.64,100.00 
National Party,  20235,  1.32,  0.08,  0.65,  1.22,  0.30, 95.57,  0.31,  0.55,100.00 
New Zealand First Party,    968,  2.48,  3.93,  5.58,  6.92, 45.04, 32.13,  3.51,  0.41,100.00 
New Zealand Pacific Party,      8,  0.00,  0.00, 12.50,  0.00, 25.00, 37.50, 25.00,  0.00,100.00 
RAM - Residents Action Movement,      4,  0.00,  0.00,  0.00, 25.00, 25.00, 50.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    259,  3.86,  1.16,  5.02, 12.74, 17.37, 55.98,  2.70,  1.16,100.00 
The Republic of New Zealand Party,      2,  0.00,  0.00,  0.00,  0.00,  0.00, 50.00, 50.00,  0.00,100.00 
United Future,    254,  3.15,  0.39,  8.27,  4.72,  6.30, 75.59,  1.57,  0.00,100.00 
Workers Party,     18,  5.56,  0.00, 16.67, 22.22, 11.11, 44.44,  0.00,  0.00,100.00 
Informal Party Votes,    142,  1.41,  0.70,  1.41,  1.41, 10.56, 23.94, 59.15,  1.41,100.00 
Total Party Votes and Percentages,  33941,  1.74,  0.44,  1.52,  6.79, 21.08, 66.68,  1.04,  0.71,100.00 
