63 Wigram,Total Party Votes,"GARDINER, Matthew (ACT New Zealand)","DOWIE, Tom (Alliance)","RING, John Charles (Democrats for Social Credit)","TAYLOR, Peter (Green Party)","ANDERTON, Jim (Jim Anderton's Progressive)","CAMERON, Lindsay (Kiwi Party)","EBBORN-GILLESPIE, Erin (Labour Party)","MORGAN, Ben (Libertarianz)","ALEXANDER, Marc (National Party)","CAMPBELL, Steve (New Zealand First Party)","HANSEN, Michael (NZ Economic Euthenics Party)","ROBERTS, Vanessa (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    653, 17.46,  0.00,  0.46,  1.53, 15.31,  0.61,  2.76,  1.53, 58.04,  0.15,  0.15,  0.15,  0.61,  1.23,100.00 
Alliance,     68,  1.47, 27.94,  0.00,  2.94, 48.53,  1.47, 10.29,  0.00,  4.41,  0.00,  1.47,  0.00,  0.00,  1.47,100.00 
Aotearoa Legalise Cannabis Party,    151,  0.00,  0.00,  1.32, 29.14, 24.50,  1.99, 17.88,  2.65, 13.25,  0.66,  0.00,  0.00,  0.66,  7.95,100.00 
Democrats for Social Credit,     13,  0.00,  0.00, 53.85,  7.69, 38.46,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Family Party,     83,  6.02,  0.00,  0.00,  6.02, 34.94,  8.43,  3.61,  0.00, 32.53,  0.00,  0.00,  3.61,  1.20,  3.61,100.00 
Green Party,   2436,  0.12,  0.37,  0.21, 29.43, 54.35,  0.04,  9.61,  0.08,  3.53,  0.25,  0.12,  0.16,  0.49,  1.23,100.00 
Jim Anderton's Progressive,   2010,  0.05,  0.00,  0.00,  1.24, 85.87,  0.40,  7.91,  0.00,  2.39,  0.85,  0.00,  0.10,  0.40,  0.80,100.00 
Kiwi Party,    322,  0.31,  0.00,  0.00,  0.93, 27.64, 41.93,  1.55,  0.00, 22.05,  0.62,  0.31,  3.11,  0.93,  0.62,100.00 
Labour Party,  14108,  0.21,  0.11,  0.03,  4.95, 57.99,  0.26, 32.05,  0.06,  0.93,  0.77,  0.04,  0.16,  0.68,  1.78,100.00 
Libertarianz,     22,  0.00,  0.00,  0.00,  0.00, 13.64,  0.00,  4.55, 63.64, 13.64,  0.00,  4.55,  0.00,  0.00,  0.00,100.00 
Maori Party,    198,  1.01,  1.01,  0.00, 11.62, 49.49,  3.03, 12.12,  0.51,  9.60,  3.03,  0.00,  0.00,  1.01,  7.58,100.00 
National Party,  13308,  1.45,  0.05,  0.05,  1.62, 20.98,  0.78,  0.50,  0.10, 71.45,  0.39,  0.03,  0.71,  0.63,  1.25,100.00 
New Zealand First Party,   1050,  0.19,  0.10,  0.19,  0.95, 54.29,  0.48,  7.71,  0.00,  8.76, 25.33,  0.38,  0.10,  0.86,  0.67,100.00 
New Zealand Pacific Party,     51,  0.00,  0.00,  0.00,  1.96, 52.94,  0.00, 37.25,  0.00,  3.92,  1.96,  0.00,  0.00,  1.96,  0.00,100.00 
RAM - Residents Action Movement,      1,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    251,  1.20,  0.00,  1.20, 14.34, 35.86,  2.79, 11.95,  1.20, 21.51,  3.19,  1.99,  0.40,  1.59,  2.79,100.00 
The Republic of New Zealand Party,      5,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 40.00,  0.00, 40.00,  0.00,  0.00, 20.00,  0.00,  0.00,100.00 
United Future,    355,  0.28,  0.00,  0.00,  1.97, 46.76,  1.13,  1.13,  0.00, 25.63,  0.00,  0.00, 21.69,  0.85,  0.56,100.00 
Workers Party,     17,  0.00, 11.76,  0.00, 11.76, 17.65,  0.00,  5.88,  0.00, 17.65,  0.00,  5.88,  5.88, 17.65,  5.88,100.00 
Informal Party Votes,    291,  0.00,  0.00,  0.00,  0.69, 15.81,  0.00,  3.44,  0.00,  4.47,  1.03,  0.34,  0.00, 71.82,  2.41,100.00 
Total Party Votes and Percentages,  35393,  1.00,  0.16,  0.09,  5.09, 43.29,  0.91, 14.73,  0.16, 29.82,  1.33,  0.08,  0.62,  1.24,  1.49,100.00 
