64 Hauraki-Waikato,Total Party Votes,"MAHUTA, Nanaia (Labour Party)","GREENSILL, Angeline Ngahina (Maori Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    113, 28.32, 59.29, 10.62,  1.77,100.00 
Alliance,      2,100.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    236, 47.03, 44.92,  4.24,  3.81,100.00 
Democrats for Social Credit,      2,  0.00,100.00,  0.00,  0.00,100.00 
Family Party,    138, 25.36, 57.97, 13.04,  3.62,100.00 
Green Party,    603, 45.27, 49.59,  2.32,  2.82,100.00 
Jim Anderton's Progressive,     41, 43.90, 48.78,  7.32,  0.00,100.00 
Kiwi Party,     33, 21.21, 57.58, 18.18,  3.03,100.00 
Labour Party,   9819, 69.68, 26.07,  1.53,  2.72,100.00 
Libertarianz,      7, 42.86, 14.29, 28.57, 14.29,100.00 
Maori Party,   5172, 21.38, 74.50,  1.08,  3.04,100.00 
National Party,   1347, 17.74, 69.12, 10.24,  2.90,100.00 
New Zealand First Party,   1022, 52.64, 40.31,  5.38,  1.66,100.00 
New Zealand Pacific Party,      5, 80.00,  0.00, 20.00,  0.00,100.00 
RAM - Residents Action Movement,      3, 66.67, 33.33,  0.00,  0.00,100.00 
The Bill and Ben Party,     98, 40.82, 48.98,  3.06,  7.14,100.00 
The Republic of New Zealand Party,      4,  0.00,100.00,  0.00,  0.00,100.00 
United Future,     33, 24.24, 57.58, 15.15,  3.03,100.00 
Workers Party,      6, 16.67, 66.67, 16.67,  0.00,100.00 
Informal Party Votes,    358, 24.58,  9.78, 62.29,  3.35,100.00 
Total Party Votes and Percentages,  19042, 49.10, 44.43,  3.66,  2.81,100.00 
