68 Te Tai Tokerau,Total Party Votes,"TASHKOFF, Peter (ACT New Zealand)","DANIELS, Judy (Aotearoa Legalise Cannabis Party)","RANKIN, David (Hapu Party)","DAVIS, Kelvin Glen (Labour Party)","HARAWIRA, Hone Pani Tamati Waka Nene (Maori Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    112, 49.11,  5.36,  0.00,  6.25, 35.71,  1.79,  1.79,100.00 
Alliance,      5,  0.00, 20.00,  0.00, 60.00, 20.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    218,  0.00, 61.01,  0.46, 10.55, 17.43,  3.67,  6.88,100.00 
Democrats for Social Credit,      1,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,100.00 
Family Party,    108, 12.04,  2.78,  7.41, 16.67, 48.15,  9.26,  3.70,100.00 
Green Party,    709,  1.55, 11.14,  1.27, 26.66, 55.57,  1.55,  2.26,100.00 
Jim Anderton's Progressive,     74,  6.76,  0.00,  0.00, 40.54, 48.65,  0.00,  4.05,100.00 
Kiwi Party,     32, 12.50,  0.00,  3.13, 18.75, 46.88,  9.38,  9.38,100.00 
Labour Party,   9200,  0.36,  3.29,  0.63, 47.51, 44.09,  1.27,  2.85,100.00 
Libertarianz,      5, 20.00, 20.00,  0.00, 20.00, 40.00,  0.00,  0.00,100.00 
Maori Party,   6204,  0.16,  1.08,  0.69,  6.08, 88.67,  0.87,  2.45,100.00 
National Party,   1883, 26.93,  7.06,  2.18,  7.97, 48.70,  5.15,  2.02,100.00 
New Zealand First Party,   1495,  1.81,  2.88,  2.07, 31.57, 56.59,  3.61,  1.47,100.00 
New Zealand Pacific Party,      6,  0.00,  0.00, 16.67, 50.00, 33.33,  0.00,  0.00,100.00 
RAM - Residents Action Movement,     10, 10.00,  0.00, 10.00, 10.00, 50.00, 10.00, 10.00,100.00 
The Bill and Ben Party,     74,  9.46, 21.62,  4.05, 29.73, 29.73,  5.41,  0.00,100.00 
The Republic of New Zealand Party,      0,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,     24, 12.50,  4.17, 12.50,  4.17, 58.33,  8.33,  0.00,100.00 
Workers Party,      3, 33.33,  0.00, 33.33,  0.00, 33.33,  0.00,  0.00,100.00 
Informal Party Votes,    292,  0.68,  0.68,  0.34, 12.67, 26.03, 57.19,  2.40,100.00 
Total Party Votes and Percentages,  20455,  3.32,  3.85,  0.99, 27.92, 58.76,  2.59,  2.57,100.00 
