69 Te Tai Tonga,Total Party Votes,"LANGSBURY, Dora Roimata (Green Party)","OKEROA, Mahara (Labour Party)","KATENE, Rahui (Maori Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    131, 22.14,  7.63, 54.20, 11.45,  4.58,100.00 
Alliance,     14, 28.57, 50.00, 14.29,  7.14,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    207, 26.09, 28.99, 37.20,  1.93,  5.80,100.00 
Democrats for Social Credit,      6, 16.67, 33.33, 50.00,  0.00,  0.00,100.00 
Family Party,     76, 13.16,  7.89, 68.42,  6.58,  3.95,100.00 
Green Party,   1430, 35.10, 26.78, 36.29,  0.49,  1.33,100.00 
Jim Anderton's Progressive,    122, 13.11, 47.54, 35.25,  3.28,  0.82,100.00 
Kiwi Party,     69, 10.14, 18.84, 63.77,  7.25,  0.00,100.00 
Labour Party,   9833,  8.47, 60.60, 27.54,  1.49,  1.89,100.00 
Libertarianz,      4, 25.00, 25.00, 50.00,  0.00,  0.00,100.00 
Maori Party,   4414,  4.19, 13.98, 78.93,  0.70,  2.20,100.00 
National Party,   2210, 15.02, 10.36, 62.99,  9.95,  1.67,100.00 
New Zealand First Party,   1102,  4.81, 46.73, 44.28,  2.63,  1.54,100.00 
New Zealand Pacific Party,      4,  0.00, 50.00, 50.00,  0.00,  0.00,100.00 
RAM - Residents Action Movement,      2,  0.00, 50.00, 50.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    158, 21.52, 37.34, 38.61,  1.90,  0.63,100.00 
The Republic of New Zealand Party,      0,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,     38,  7.89,  7.89, 73.68,  7.89,  2.63,100.00 
Workers Party,     13, 30.77, 30.77, 30.77,  7.69,  0.00,100.00 
Informal Party Votes,    261,  3.07, 12.64, 11.49, 69.35,  3.45,100.00 
Total Party Votes and Percentages,  20094, 10.33, 39.62, 44.84,  3.26,  1.94,100.00 
