70 Waiariki,Total Party Votes,"RIRINUI, Mita (Labour Party)","FLAVELL, Te Ururoa (Maori Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     42, 23.81, 64.29,  7.14,  4.76,100.00 
Alliance,      6, 33.33, 66.67,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    182, 31.87, 60.44,  1.65,  6.04,100.00 
Democrats for Social Credit,      2,  0.00,100.00,  0.00,  0.00,100.00 
Family Party,    205,  9.27, 73.66, 15.12,  1.95,100.00 
Green Party,    518, 28.38, 64.67,  2.70,  4.25,100.00 
Jim Anderton's Progressive,     28, 35.71, 60.71,  3.57,  0.00,100.00 
Kiwi Party,     57, 21.05, 71.93,  3.51,  3.51,100.00 
Labour Party,   8903, 48.84, 47.29,  1.56,  2.31,100.00 
Libertarianz,      4, 25.00, 50.00, 25.00,  0.00,100.00 
Maori Party,   6890,  7.24, 89.22,  0.90,  2.64,100.00 
National Party,   1075, 11.91, 73.77, 11.91,  2.42,100.00 
New Zealand First Party,   1525, 41.84, 52.46,  4.66,  1.05,100.00 
New Zealand Pacific Party,      9, 33.33, 55.56, 11.11,  0.00,100.00 
RAM - Residents Action Movement,      6, 33.33, 66.67,  0.00,  0.00,100.00 
The Bill and Ben Party,     47, 40.43, 48.94,  6.38,  4.26,100.00 
The Republic of New Zealand Party,      1,  0.00,100.00,  0.00,  0.00,100.00 
United Future,     26, 15.38, 76.92,  7.69,  0.00,100.00 
Workers Party,     13, 46.15, 46.15,  7.69,  0.00,100.00 
Informal Party Votes,    366, 17.21, 22.68, 58.20,  1.91,100.00 
Total Party Votes and Percentages,  19905, 29.99, 64.21,  3.39,  2.41,100.00 
