08 Dunedin North,Total Party Votes,"CALVERT, Hilary (ACT New Zealand)","BILLOT, Victor (Alliance)","CRAWFORD, Julian (Aotearoa Legalise Cannabis Party)","McRAE, Olive (Democrats for Social Credit)","TUREI, Metiria (Green Party)","HODGSON, Pete (Labour Party)","WOODHOUSE, Michael (National Party)","EDWARDS, Mary (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    749, 19.49,  0.27,  0.93,  0.27,  1.20,  8.68, 66.22,  1.07,  0.40,  1.47,100.00 
Alliance,    106,  1.89, 50.94,  1.89,  0.94,  4.72, 28.30,  7.55,  0.94,  1.89,  0.94,100.00 
Aotearoa Legalise Cannabis Party,    143,  0.00,  0.00, 56.64,  0.00, 11.19, 19.58,  8.39,  0.70,  0.70,  2.80,100.00 
Democrats for Social Credit,     36,  0.00,  2.78,  0.00, 50.00, 13.89, 22.22, 11.11,  0.00,  0.00,  0.00,100.00 
Family Party,     57,  8.77,  1.75,  1.75,  1.75, 14.04, 19.30, 36.84,  7.02,  7.02,  1.75,100.00 
Green Party,   5221,  0.36,  2.99,  2.01,  0.27, 33.73, 54.74,  4.75,  0.08,  0.33,  0.75,100.00 
Jim Anderton's Progressive,    310,  0.32,  6.13,  0.65,  1.61, 10.97, 60.65, 15.16,  0.97,  2.26,  1.29,100.00 
Kiwi Party,    125,  1.60,  4.00,  1.60,  2.40,  1.60, 18.40, 52.00, 13.60,  4.00,  0.80,100.00 
Labour Party,  14608,  0.67,  0.84,  1.14,  0.14,  9.02, 84.60,  2.03,  0.20,  0.32,  1.02,100.00 
Libertarianz,      9,  0.00,  0.00, 22.22,  0.00,  0.00, 44.44, 22.22,  0.00, 11.11,  0.00,100.00 
Maori Party,    230,  0.87,  1.30,  1.30,  0.87, 30.87, 41.30, 16.09,  0.43,  0.87,  6.09,100.00 
National Party,   9692,  2.71,  0.32,  0.63,  0.18,  2.70,  5.74, 85.68,  0.57,  0.51,  0.97,100.00 
New Zealand First Party,   1132,  1.50,  3.09,  1.59,  1.59,  5.39, 62.19, 19.17,  2.21,  2.92,  0.35,100.00 
New Zealand Pacific Party,     14,  7.14,  0.00,  0.00,  0.00,  0.00, 42.86, 21.43,  7.14, 14.29,  7.14,100.00 
RAM - Residents Action Movement,      4,  0.00, 25.00, 25.00,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    252,  3.17,  1.59, 10.32,  0.79, 14.29, 34.92, 28.97,  0.79,  3.17,  1.98,100.00 
The Republic of New Zealand Party,      2,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00,100.00 
United Future,    312,  1.60,  1.92,  0.32,  0.32,  7.05, 23.08, 40.06, 24.36,  1.28,  0.00,100.00 
Workers Party,     18,  0.00, 33.33, 11.11,  0.00,  0.00, 27.78, 22.22,  0.00,  5.56,  0.00,100.00 
Informal Party Votes,     89,  4.49,  0.00,  2.25,  0.00,  1.12, 28.09,  8.99,  1.12, 53.93,  0.00,100.00 
Total Party Votes and Percentages,  33109,  1.73,  1.35,  1.46,  0.32, 10.91, 51.73, 30.12,  0.69,  0.71,  0.99,100.00 
