10 East Coast,Total Party Votes,"NORVILL, John (ACT New Zealand)","SHELDRAKE, Kathy (Conservative Party)","MONTEITH, Darryl (Green Party)","MACKEY, Moana (Labour Party)","IRWIN, Val (Mana)","TOLLEY, Anne (National Party)","REID, Tamati (New Zealand First Party)","GIBSON, Martin (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    280, 10.71,  3.21,  1.79,  8.57,  1.07, 67.86,  1.79,  1.43,  3.21,  0.36,100.00 
Alliance,     10,  0.00, 20.00,  0.00, 20.00,  0.00, 60.00,  0.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    133,  0.75,  3.01, 38.35, 27.07,  3.01, 15.79,  3.76,  3.76,  1.50,  3.01,100.00 
Conservative Party,    898,  0.22, 57.46,  1.67,  8.02,  0.00, 28.17,  1.00,  0.78,  1.78,  0.89,100.00 
Democrats for Social Credit,     10,  0.00, 10.00,  0.00, 30.00,  0.00, 20.00, 10.00, 10.00, 10.00, 10.00,100.00 
Green Party,   3154,  0.06,  2.22, 39.00, 44.86,  0.86,  8.31,  0.63,  1.49,  1.08,  1.49,100.00 
Labour Party,   7101,  0.14,  1.31,  6.48, 82.97,  0.84,  2.28,  1.46,  0.46,  2.03,  2.01,100.00 
Libertarianz,      9,  0.00, 11.11, 33.33, 11.11,  0.00, 33.33,  0.00,  0.00, 11.11,  0.00,100.00 
Mana,    224,  0.00,  0.45,  7.14, 22.77, 52.23,  4.02,  1.79,  0.45,  3.13,  8.04,100.00 
Māori Party,    313,  0.64,  3.19, 12.14, 33.55,  7.35, 26.84,  5.75,  1.28,  3.51,  5.75,100.00 
National Party,  14804,  0.55,  3.49,  3.42,  4.12,  0.07, 84.49,  0.67,  1.08,  1.62,  0.49,100.00 
New Zealand First Party,   2536,  0.39,  4.46,  4.61, 36.08,  0.39, 13.49, 35.57,  0.67,  3.12,  1.22,100.00 
United Future,    271,  0.37,  2.95,  1.85, 16.24,  0.00, 33.58,  1.48, 41.33,  0.74,  1.48,100.00 
Informal Party Votes,    233,  0.43,  3.00,  2.58, 25.32,  0.86, 30.04,  5.58,  0.43, 30.04,  1.72,100.00 
Total Party Votes and Percentages,  29976,  0.47,  4.51,  8.18, 30.79,  0.85, 46.71,  3.95,  1.31,  2.05,  1.17,100.00 
