12 Epsom,Total Party Votes,"BANKS, John (ACT New Zealand)","KAN, Simon (Conservative Party)","HAY, David (Green Party)","PARKER, David (Labour Party)","O'DEA, Pat (Mana)","GOLDSMITH, Paul (National Party)","BRIGHT, Penny (Independent)","GOODE, Matthew (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    939, 79.98,  0.53,  0.43,  0.64,  0.00, 13.95,  0.64,  0.00,  2.56,  1.28,100.00 
Alliance,     12,  0.00,  0.00,  8.33, 25.00,  0.00, 16.67,  8.33,  8.33, 16.67, 16.67,100.00 
Aotearoa Legalise Cannabis Party,    118, 21.19,  0.00, 29.66, 11.86,  0.85, 28.81,  2.54,  1.69,  0.00,  3.39,100.00 
Conservative Party,    412, 26.70, 33.50,  3.64,  4.13,  0.00, 28.88,  0.73,  0.00,  1.21,  1.21,100.00 
Democrats for Social Credit,      9, 33.33, 11.11,  0.00,  0.00, 11.11, 22.22, 22.22,  0.00,  0.00,  0.00,100.00 
Green Party,   4424,  4.16,  0.25, 24.68, 13.16,  0.38, 54.27,  0.32,  0.14,  0.66,  1.99,100.00 
Labour Party,   5716,  4.67,  0.47,  7.24, 47.32,  0.16, 35.48,  0.33,  0.14,  1.78,  2.40,100.00 
Libertarianz,     31, 16.13,  9.68,  9.68, 12.90,  0.00, 22.58,  3.23,  6.45, 16.13,  3.23,100.00 
Mana,     91,  1.10,  0.00,  5.49, 15.38, 26.37, 46.15,  1.10,  1.10,  0.00,  3.30,100.00 
Māori Party,    217, 11.98,  0.92, 11.98,  7.83,  2.30, 60.83,  1.38,  0.00,  2.30,  0.46,100.00 
National Party,  23725, 60.14,  0.48,  2.10,  0.78,  0.01, 34.25,  0.16,  0.11,  0.75,  1.22,100.00 
New Zealand First Party,    959, 14.70,  3.34,  6.05, 18.56,  0.52, 47.76,  2.82,  1.15,  2.50,  2.61,100.00 
United Future,    116, 21.55,  4.31,  4.31,  2.59,  0.00, 53.45,  5.17,  2.59,  4.31,  1.72,100.00 
Informal Party Votes,    160, 18.13,  1.88,  1.88, 15.00,  0.63, 19.38,  0.00,  0.00, 40.00,  3.13,100.00 
Total Party Votes and Percentages,  36929, 42.88,  0.93,  5.85, 10.16,  0.18, 36.76,  0.34,  0.16,  1.20,  1.56,100.00 
