13 Hamilton East,Total Party Votes,"MALLETT, Garry (ACT New Zealand)","JACKSON, Robyn (Conservative Party)","McKENZIE, Carolyn (Democrats for Social Credit)","MARRYATT, Nick (Green Party)","ORGAD, Sehai (Labour Party)","BENNETT, David (National Party)","STEWART, Gordon (New Zealand First Party)","KINGSBURY, Bruce (Pirate Party of New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    341, 17.30,  1.17,  0.29,  1.17,  6.45, 69.79,  1.17,  1.47,  0.59,  0.59,100.00 
Alliance,      8,  0.00,  0.00,  0.00,  0.00, 12.50, 37.50, 37.50,  0.00, 12.50,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    131,  1.53,  0.00,  0.76, 27.48, 31.30, 18.32,  0.76,  7.63,  5.34,  6.87,100.00 
Conservative Party,   1145,  0.52, 42.01,  0.52,  0.70,  8.56, 43.58,  0.87,  0.44,  2.10,  0.70,100.00 
Democrats for Social Credit,     18,  0.00,  5.56, 50.00,  5.56,  0.00, 22.22,  5.56,  5.56,  5.56,  0.00,100.00 
Green Party,   3949,  0.43,  0.33,  0.30, 23.90, 53.33, 17.62,  0.48,  0.73,  0.73,  2.13,100.00 
Labour Party,   8217,  0.26,  0.55,  0.16,  4.81, 79.58,  8.12,  1.33,  0.28,  2.68,  2.25,100.00 
Libertarianz,     25, 20.00,  0.00,  8.00,  8.00, 16.00, 20.00,  0.00, 20.00,  4.00,  4.00,100.00 
Mana,     89,  0.00,  0.00,  1.12, 19.10, 52.81,  3.37,  5.62,  1.12,  2.25, 14.61,100.00 
Māori Party,    195,  0.00,  2.56,  0.00, 11.79, 26.67, 38.46,  2.56,  2.56,  3.08, 12.31,100.00 
National Party,  17085,  0.56,  0.75,  0.02,  1.24,  2.99, 91.92,  0.29,  0.20,  1.06,  0.98,100.00 
New Zealand First Party,   1786,  1.12,  3.36,  0.28,  2.58, 38.47, 17.86, 31.86,  0.67,  2.80,  1.01,100.00 
United Future,    260,  1.92,  3.46,  0.00,  1.54, 21.54, 64.23,  2.69,  1.54,  1.15,  1.92,100.00 
Informal Party Votes,    317,  0.00,  1.89,  0.00,  1.89, 20.82, 31.86,  4.73,  0.63, 34.38,  3.79,100.00 
Total Party Votes and Percentages,  33566,  0.69,  2.24,  0.16,  5.06, 30.48, 55.13,  2.37,  0.41,  1.89,  1.57,100.00 
