23 Manukau East,Total Party Votes,"MACFARLANE, Jonathan (ACT New Zealand)","COGGAN, Felicity (Communist League)","NAEA, Frank John (Conservative Party)","ROBERTSON, Ross (Labour Party)","MINTO, John (Mana)","BAKSHI, Kanwaljit Singh (National Party)","TAYLOR, Asenati (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    143, 34.27,  1.40,  2.80, 14.69,  5.59, 25.17,  4.20, 10.49,  1.40,100.00 
Alliance,      9,  0.00,  0.00,  0.00, 44.44,  0.00,  0.00,  0.00, 55.56,  0.00,100.00 
Aotearoa Legalise Cannabis Party,     93,  2.15,  1.08,  3.23, 62.37,  6.45,  5.38,  4.30,  5.38,  9.68,100.00 
Conservative Party,    393,  0.25,  0.00, 46.31, 33.08,  1.53,  8.91,  3.82,  4.33,  1.78,100.00 
Democrats for Social Credit,      7,  0.00,  0.00, 14.29, 42.86,  0.00,  0.00, 14.29, 28.57,  0.00,100.00 
Green Party,    913,  0.99,  1.31,  1.20, 71.52,  7.12,  5.70,  4.93,  4.05,  3.18,100.00 
Labour Party,  17977,  0.09,  0.09,  0.31, 88.09,  0.83,  1.13,  1.28,  4.26,  3.92,100.00 
Libertarianz,     10, 10.00,  0.00, 10.00, 30.00,  0.00, 40.00, 10.00,  0.00,  0.00,100.00 
Mana,    253,  1.58,  0.79,  0.79, 17.79, 54.55,  0.40,  0.79,  5.93, 17.39,100.00 
Māori Party,    131,  0.76,  0.76,  3.05, 34.35, 13.74, 12.21,  9.92,  4.58, 20.61,100.00 
National Party,   5287,  2.93,  0.34,  2.21, 27.26,  0.66, 58.58,  1.72,  4.77,  1.53,100.00 
New Zealand First Party,   1703,  0.41,  0.23,  2.29, 52.32,  1.64,  3.35, 33.76,  3.93,  2.06,100.00 
United Future,     41,  2.44,  0.00, 12.20, 34.15,  9.76, 31.71,  9.76,  0.00,  0.00,100.00 
Informal Party Votes,    524,  0.19,  1.34,  0.19, 48.66,  0.76,  7.82,  2.10, 35.31,  3.63,100.00 
Total Party Votes and Percentages,  27484,  0.90,  0.23,  1.55, 70.58,  1.68, 12.96,  3.63,  4.99,  3.48,100.00 
