24 Manurewa,Total Party Votes,"PETERSON, David (ACT New Zealand)","ADDIS, Richard (Conservative Party)","WALL, Louisa (Labour Party)","COOPER, Richard Shortland (Mana)","CALDER, Cam (National Party)","HALL, John (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    153, 29.41,  1.96, 14.38,  1.31, 47.71,  1.96,  1.96,  1.31,100.00 
Alliance,     22,  0.00,  9.09, 50.00,  9.09,  4.55,  0.00, 22.73,  4.55,100.00 
Aotearoa Legalise Cannabis Party,    101,  2.97,  3.96, 43.56,  4.95, 20.79,  6.93,  4.95, 11.88,100.00 
Conservative Party,    572,  0.87, 57.52,  9.44,  0.87, 25.87,  1.92,  2.10,  1.40,100.00 
Democrats for Social Credit,      3,  0.00, 66.67,  0.00,  0.00, 33.33,  0.00,  0.00,  0.00,100.00 
Green Party,    995,  1.51,  2.91, 66.83,  3.62, 15.38,  4.92,  3.02,  1.81,100.00 
Labour Party,  14517,  0.28,  0.56, 87.04,  0.91,  0.97,  1.38,  4.24,  4.60,100.00 
Libertarianz,     13,  0.00,  7.69, 23.08, 15.38, 23.08, 23.08,  7.69,  0.00,100.00 
Mana,    215,  0.47,  0.93, 21.40, 53.02,  2.33,  1.86,  2.79, 17.21,100.00 
Māori Party,    163,  0.61,  0.61, 40.49, 18.40, 17.79,  6.75,  3.68, 11.66,100.00 
National Party,   6606,  1.03,  1.79,  6.57,  0.42, 83.59,  1.39,  3.66,  1.54,100.00 
New Zealand First Party,   1861,  0.43,  2.79, 40.35,  1.56, 10.42, 38.90,  2.85,  2.69,100.00 
United Future,     56,  0.00, 10.71, 33.93,  0.00, 39.29,  8.93,  3.57,  3.57,100.00 
Informal Party Votes,    411,  0.49,  1.22, 51.09,  0.49,  9.25,  2.92, 30.90,  3.65,100.00 
Total Party Votes and Percentages,  25688,  0.74,  2.48, 58.24,  1.51, 24.72,  4.37,  4.31,  3.64,100.00 
