29 Nelson,Total Party Votes,"HUFFLETT, Paul Charles (ACT New Zealand)","VITALI, Oliver (Conservative Party)","BARLOW, Aaryn (Green Party)","STREET, Maryan (Labour Party)","SMITH, Nick (National Party)","GARDENER, Kevin (New Zealand First Party)","STEVENS, Doug (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    259, 21.62,  1.54,  1.93,  6.18, 65.25,  0.77,  0.39,  0.77,  1.54,100.00 
Alliance,     14,  7.14,  0.00, 14.29, 50.00, 21.43,  7.14,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    180,  2.22,  1.11, 34.44, 25.56, 28.33,  1.67,  1.67,  2.78,  2.22,100.00 
Conservative Party,    954,  0.42, 37.21,  3.04,  8.81, 46.96,  0.84,  0.63,  1.57,  0.52,100.00 
Democrats for Social Credit,     37,  0.00, 13.51, 10.81, 21.62, 35.14,  8.11,  2.70,  8.11,  0.00,100.00 
Green Party,   5660,  0.09,  0.37, 35.19, 43.14, 18.55,  0.39,  0.16,  0.95,  1.15,100.00 
Labour Party,   9639,  0.13,  0.44,  6.95, 75.80, 12.31,  0.95,  0.22,  2.32,  0.87,100.00 
Libertarianz,     20,  0.00,  5.00, 15.00, 20.00, 40.00, 10.00,  5.00,  5.00,  0.00,100.00 
Mana,     66,  0.00,  1.52, 19.70, 46.97, 18.18,  4.55,  4.55,  0.00,  4.55,100.00 
Māori Party,    161,  0.00,  2.48, 12.42, 26.71, 50.31,  0.62,  1.24,  3.11,  3.11,100.00 
National Party,  16016,  0.48,  0.71,  2.12,  2.78, 91.20,  0.19,  0.36,  1.61,  0.55,100.00 
New Zealand First Party,   1913,  0.42,  2.35,  6.22, 38.42, 22.90, 25.98,  0.37,  2.72,  0.63,100.00 
United Future,    348,  0.29,  0.29,  2.59, 12.36, 55.46,  0.86, 26.44,  1.15,  0.57,100.00 
Informal Party Votes,    250,  0.80,  2.40,  3.60, 24.80, 40.00,  0.80,  0.00, 27.60,  0.00,100.00 
Total Party Votes and Percentages,  35517,  0.48,  1.69,  9.22, 31.74, 51.69,  1.88,  0.57,  1.95,  0.77,100.00 
