03 Botany,Total Party Votes,"MURPHY, Lyn (ACT New Zealand)","YOUNG, Paul (Conservative Party)","WU, Chao-Fu (Labour Party)","ROSS, Jami-Lee (National Party)","PARKASH, Ram (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    478, 26.36, 15.69,  4.81, 49.16,  0.21,  2.51,  1.26,100.00 
Alliance,      9, 11.11, 22.22,  0.00, 22.22, 11.11, 33.33,  0.00,100.00 
Aotearoa Legalise Cannabis Party,     85,  4.71, 10.59, 24.71, 45.88,  2.35,  5.88,  5.88,100.00 
Conservative Party,    777,  1.80, 59.59,  3.47, 31.79,  1.03,  2.06,  0.26,100.00 
Democrats for Social Credit,      7,  0.00, 14.29, 28.57, 42.86, 14.29,  0.00,  0.00,100.00 
Green Party,   1277,  3.13, 10.65, 43.85, 34.53,  1.88,  5.01,  0.94,100.00 
Labour Party,   7111,  1.11,  3.91, 76.29,  8.85,  0.76,  5.67,  3.42,100.00 
Libertarianz,     13, 30.77,  0.00, 23.08, 15.38,  0.00, 30.77,  0.00,100.00 
Mana,     72,  2.78, 16.67, 38.89, 13.89,  2.78,  8.33, 16.67,100.00 
Māori Party,     84,  1.19,  8.33, 39.29, 38.10,  4.76,  4.76,  3.57,100.00 
National Party,  17749,  1.80,  5.00,  1.98, 87.93,  0.33,  2.25,  0.72,100.00 
New Zealand First Party,   1278,  2.74, 17.14, 38.81, 32.00,  1.10,  6.89,  1.33,100.00 
United Future,     94,  3.19, 22.34,  3.19, 52.13, 15.96,  1.06,  2.13,100.00 
Informal Party Votes,    238,  1.26, 10.08, 28.15, 31.93,  0.00, 26.89,  1.68,100.00 
Total Party Votes and Percentages,  29272,  2.16,  7.29, 24.05, 60.74,  0.63,  3.65,  1.48,100.00 
