31 New Plymouth,Total Party Votes,"DOMBROSKI, Jamie (Aotearoa Legalise Cannabis Party)","STEEDMAN, Geoff (Green Party)","LITTLE, Andrew (Labour Party)","YOUNG, Jonathan (National Party)","KANE, Rusty (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    347,  1.73,  1.15, 14.41, 76.66,  1.73,  3.46,  0.86,100.00 
Alliance,     11,  9.09, 36.36, 36.36,  9.09,  9.09,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    178, 60.11,  3.93, 19.10,  8.99,  2.25,  2.81,  2.81,100.00 
Conservative Party,    667,  1.35,  4.50, 26.99, 52.47,  9.30,  4.95,  0.45,100.00 
Democrats for Social Credit,     19,  0.00,  5.26, 57.89, 15.79, 10.53, 10.53,  0.00,100.00 
Green Party,   3276,  2.17, 21.15, 60.53, 12.70,  0.79,  1.04,  1.62,100.00 
Labour Party,   8761,  0.98,  1.91, 90.56,  2.51,  0.63,  2.32,  1.10,100.00 
Libertarianz,     30, 10.00, 20.00, 20.00, 26.67, 16.67,  3.33,  3.33,100.00 
Mana,     72,  6.94,  9.72, 47.22, 16.67,  8.33,  4.17,  6.94,100.00 
Māori Party,    207,  3.86,  9.66, 32.37, 45.89,  0.97,  2.90,  4.35,100.00 
National Party,  18073,  0.60,  1.21,  8.74, 86.69,  0.53,  1.82,  0.40,100.00 
New Zealand First Party,   2137,  1.36,  4.96, 64.53, 18.91,  4.02,  5.57,  0.66,100.00 
United Future,    154,  0.00,  7.14, 33.77, 50.00,  3.90,  4.55,  0.65,100.00 
Informal Party Votes,    235,  2.13,  0.85, 25.53, 46.38,  1.70, 22.98,  0.43,100.00 
Total Party Votes and Percentages,  34167,  1.28,  3.74, 39.14, 51.64,  1.06,  2.36,  0.77,100.00 
