32 North Shore,Total Party Votes,"BRASH, Don (ACT New Zealand)","JENSEN, Craig H (Conservative Party)","WATSON, Pieter (Green Party)","CLARK, Ben (Labour Party)","MURPHY, Michael (Libertarianz)","BARRY, Maggie (National Party)","WILLIAMS, Andrew (New Zealand First Party)","LIGHT, Damian (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    714, 37.11,  0.56,  0.56,  1.96,  0.28, 55.74,  0.84,  0.14,  1.96,  0.84,100.00 
Alliance,      8,  0.00, 12.50, 12.50, 62.50,  0.00, 12.50,  0.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    123,  8.13,  0.00, 29.27, 13.01,  7.32, 29.27,  5.69,  0.00,  2.44,  4.88,100.00 
Conservative Party,    829,  3.74, 48.85,  1.81,  7.00,  0.48, 34.50,  1.45,  0.72,  0.24,  1.21,100.00 
Democrats for Social Credit,     12,  8.33,  8.33, 41.67,  0.00,  0.00, 16.67,  8.33,  0.00, 16.67,  0.00,100.00 
Green Party,   4035,  0.87,  0.79, 39.33, 36.06,  0.27, 19.28,  0.92,  0.37,  0.82,  1.29,100.00 
Labour Party,   6036,  1.13,  0.78,  7.89, 80.07,  0.13,  4.74,  1.52,  0.48,  1.81,  1.46,100.00 
Libertarianz,     41, 12.20,  0.00,  0.00,  7.32, 56.10, 19.51,  0.00,  0.00,  2.44,  2.44,100.00 
Mana,     62,  1.61,  0.00, 35.48, 41.94,  0.00,  9.68,  3.23,  1.61,  1.61,  4.84,100.00 
Māori Party,    223,  4.48,  1.79, 17.94, 19.28,  1.35, 43.95,  3.59,  2.24,  1.79,  3.59,100.00 
National Party,  23113,  3.58,  1.35,  2.17,  1.87,  0.16, 87.90,  0.54,  0.22,  1.31,  0.90,100.00 
New Zealand First Party,   1806,  1.77,  5.15,  5.81, 30.34,  0.66, 18.99, 33.33,  0.55,  2.82,  0.55,100.00 
United Future,    179,  3.35,  2.23,  2.23, 11.17,  0.00, 48.04,  1.12, 30.17,  1.12,  0.56,100.00 
Informal Party Votes,    174,  1.15,  1.15,  3.45, 15.52,  0.00, 36.78,  3.45,  0.00, 38.51,  0.00,100.00 
Total Party Votes and Percentages,  37355,  3.46,  2.42,  7.50, 20.03,  0.29, 60.79,  2.41,  0.46,  1.58,  1.05,100.00 
