34 Northland,Total Party Votes,"BRILL, Barry (ACT New Zealand)","TAYLOR, Melanie (Conservative Party)","EVANS, Pauline (Green Party)","STEWART, Lynette (Labour Party)","HEREWINI, Ngawai (Mana)","PEITA, Josephine (Māori Party)","SABIN, Mike (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    536, 16.60,  3.17,  1.68,  2.99,  0.00,  0.37, 73.88,  1.31,  0.00,100.00 
Alliance,      9, 11.11, 11.11, 11.11, 22.22,  0.00,  0.00, 33.33, 11.11,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    213,  1.41,  2.82, 38.50, 25.35,  4.69,  0.94, 20.19,  3.76,  2.35,100.00 
Conservative Party,   1714,  0.47, 47.55,  1.46,  7.76,  0.12,  0.35, 39.73,  2.04,  0.53,100.00 
Democrats for Social Credit,     35,  0.00, 17.14, 17.14, 31.43,  5.71,  0.00, 17.14, 11.43,  0.00,100.00 
Green Party,   3848,  0.10,  0.99, 55.74, 24.45,  2.05,  0.75, 13.38,  1.12,  1.40,100.00 
Labour Party,   5748,  0.26,  1.29, 12.35, 72.20,  2.42,  0.92,  5.48,  2.70,  2.38,100.00 
Libertarianz,     25,  4.00, 32.00, 28.00,  4.00,  0.00,  0.00, 24.00,  4.00,  4.00,100.00 
Mana,    420,  0.24,  0.48,  8.33, 12.14, 62.62,  1.67,  5.00,  1.67,  7.86,100.00 
Māori Party,    257,  0.00,  1.17,  9.73, 13.62,  6.23, 29.96, 29.18,  1.95,  8.17,100.00 
National Party,  16381,  0.62,  1.45,  2.02,  0.92,  0.13,  0.32, 91.92,  2.08,  0.54,100.00 
New Zealand First Party,   3330,  1.05, 11.17, 12.61, 36.43,  2.19,  1.71, 26.52,  7.18,  1.14,100.00 
United Future,    149,  0.67, 12.75,  7.38, 11.41,  0.00,  1.34, 61.07,  3.36,  2.01,100.00 
Informal Party Votes,    308,  0.65,  2.27,  4.87, 16.56,  1.62,  0.97, 31.17, 39.29,  2.60,100.00 
Total Party Votes and Percentages,  32973,  0.79,  4.87, 11.59, 20.70,  1.85,  0.88, 55.16,  2.95,  1.20,100.00 
