35 Ōhariu,Total Party Votes,"WOODNUTT, Stephen (Conservative Party)","HUGHES, Gareth (Green Party)","CHAUVEL, Charles (Labour Party)","FITZPATRICK, Sean (Libertarianz)","SHANKS, Katrina (National Party)","BARR, Hugh (New Zealand First Party)","DUNNE, Peter (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    286,  2.80,  2.45, 10.49,  3.85, 22.38,  1.05, 55.59,  1.05,  0.35,100.00 
Alliance,     12,  0.00, 16.67, 50.00,  0.00,  0.00,  0.00, 33.33,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    160,  1.25, 18.13, 35.00,  6.25, 17.50,  1.88, 15.00,  0.63,  4.38,100.00 
Conservative Party,    636, 33.65,  1.42, 10.06,  0.16, 11.01,  0.31, 42.77,  0.47,  0.16,100.00 
Democrats for Social Credit,     10, 10.00, 10.00, 20.00, 10.00,  0.00, 20.00, 20.00,  0.00, 10.00,100.00 
Green Party,   5453,  0.28, 21.22, 56.85,  0.13,  4.68,  0.20, 15.11,  0.37,  1.17,100.00 
Labour Party,  10036,  0.33,  4.41, 77.89,  0.15,  1.31,  0.44, 12.88,  1.24,  1.36,100.00 
Libertarianz,     47,  2.13,  2.13, 12.77, 57.45,  6.38,  4.26, 14.89,  0.00,  0.00,100.00 
Mana,     73,  0.00, 19.18, 56.16,  0.00,  4.11,  4.11, 10.96,  1.37,  4.11,100.00 
Māori Party,    201,  1.00,  9.45, 26.37,  0.00, 15.42,  1.00, 43.28,  0.50,  2.99,100.00 
National Party,  18764,  0.40,  2.28,  5.40,  0.15, 33.00,  0.23, 57.07,  0.74,  0.72,100.00 
New Zealand First Party,   1478,  1.69,  2.91, 48.85,  0.41,  6.56, 15.02, 21.99,  1.15,  1.42,100.00 
United Future,    672,  0.15,  0.45,  2.98,  0.00,  3.57,  0.00, 90.33,  2.23,  0.30,100.00 
Informal Party Votes,    137,  0.73,  2.92, 25.55,  1.46,  6.57,  0.73, 26.28, 33.58,  2.19,100.00 
Total Party Votes and Percentages,  37965,  1.00,  5.69, 34.15,  0.29, 18.19,  0.89, 37.82,  0.97,  1.00,100.00 
