36 Ōtaki,Total Party Votes,"McCAFFREY, Peter (ACT New Zealand)","MACDONALD, Fred (Aotearoa Legalise Cannabis Party)","RYERSSON, John Stephen (Conservative Party)","GILCHRIST, Michael (Green Party)","FOSTER, Peter (Labour Party)","GUY, Nathan (National Party)","SCOTT, David (New Zealand First Party)","BROWN, Diane (United Future)","TAUEKI, Philip Dean (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    253, 14.62,  2.37,  0.40,  0.40,  5.53, 73.12,  1.98,  0.00,  0.00,  0.79,  0.79,100.00 
Alliance,     11,  0.00,  0.00,  0.00,  9.09, 27.27, 45.45,  0.00, 18.18,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    162,  0.62, 56.79,  0.00,  5.56, 17.28, 16.05,  0.62,  0.62,  0.00,  1.23,  1.23,100.00 
Conservative Party,   1202,  0.42,  0.08, 37.44,  1.08, 17.14, 41.18,  1.58,  0.33,  0.17,  0.50,  0.08,100.00 
Democrats for Social Credit,     15,  0.00,  0.00,  6.67, 13.33, 46.67, 13.33,  6.67,  0.00, 13.33,  0.00,  0.00,100.00 
Green Party,   3612,  0.08,  1.25,  0.28, 28.41, 50.58, 16.53,  0.50,  0.17,  0.55,  0.78,  0.89,100.00 
Labour Party,  11137,  0.14,  0.52,  0.27,  3.54, 85.86,  5.56,  1.29,  0.12,  0.17,  1.69,  0.84,100.00 
Libertarianz,     19, 26.32,  5.26, 10.53,  0.00, 15.79, 26.32, 10.53,  0.00,  0.00,  5.26,  0.00,100.00 
Mana,     80,  2.50,  2.50,  1.25, 27.50, 45.00,  7.50,  2.50,  1.25,  6.25,  1.25,  2.50,100.00 
Māori Party,    210,  0.00,  0.95,  1.43,  9.05, 29.05, 47.14,  2.86,  1.90,  1.90,  2.86,  2.86,100.00 
National Party,  17609,  0.21,  0.15,  0.51,  1.08,  3.37, 92.65,  0.34,  0.15,  0.08,  1.12,  0.34,100.00 
New Zealand First Party,   3057,  0.23,  0.52,  1.64,  2.06, 46.78, 18.02, 28.07,  0.20,  0.23,  1.93,  0.33,100.00 
United Future,    266,  0.38,  0.75,  2.26,  1.50, 20.68, 55.64,  0.75, 16.92,  0.00,  0.75,  0.38,100.00 
Informal Party Votes,    292,  0.34,  0.68,  0.34,  2.05, 32.19, 33.56,  1.37,  0.34,  0.00, 27.74,  1.37,100.00 
Total Party Votes and Percentages,  37925,  0.30,  0.67,  1.70,  4.61, 36.70, 50.50,  2.96,  0.29,  0.19,  1.51,  0.56,100.00 
