38 Palmerston North,Total Party Votes,"STRATTON, Daniel (ACT New Zealand)","MARQUET, Andrew (Conservative Party)","TUCKER, Corrina (Green Party)","LEES-GALLOWAY, Iain (Labour Party)","HAPETA, Leonie (National Party)","EUSOFF, Sultan (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    245, 20.41,  0.00,  3.27, 16.33, 57.96,  0.00,  0.82,  1.22,100.00 
Alliance,     23,  0.00,  8.70, 13.04, 56.52,  4.35,  4.35, 13.04,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    157,  0.64,  3.18, 38.85, 32.48, 19.11,  1.27,  1.27,  3.18,100.00 
Conservative Party,    997,  0.30, 40.22,  1.40, 25.18, 30.49,  0.60,  1.30,  0.50,100.00 
Democrats for Social Credit,     15, 26.67, 20.00, 13.33, 33.33,  6.67,  0.00,  0.00,  0.00,100.00 
Green Party,   3469,  0.14,  0.43, 20.76, 69.10,  7.73,  0.09,  0.58,  1.18,100.00 
Labour Party,  11194,  0.08,  0.32,  2.78, 91.23,  1.62,  0.14,  2.21,  1.63,100.00 
Libertarianz,     19,  5.26,  5.26, 10.53, 36.84, 26.32,  5.26, 10.53,  0.00,100.00 
Mana,     94,  2.13,  0.00, 19.15, 65.96,  2.13,  0.00,  4.26,  6.38,100.00 
Māori Party,    168,  0.00,  1.19, 10.12, 50.60, 29.76,  1.19,  1.79,  5.36,100.00 
National Party,  14577,  0.47,  0.88,  1.56, 13.43, 81.12,  0.16,  1.50,  0.88,100.00 
New Zealand First Party,   1870,  0.96,  4.12,  4.81, 68.24, 15.88,  0.80,  4.22,  0.96,100.00 
United Future,    210,  1.43,  0.95,  3.81, 31.43, 42.86, 18.57,  0.95,  0.00,100.00 
Informal Party Votes,    230,  0.87,  0.87,  1.74, 44.78, 19.13,  0.43, 31.30,  0.87,100.00 
Total Party Votes and Percentages,  33268,  0.50,  2.03,  4.46, 49.67, 39.80,  0.33,  2.00,  1.20,100.00 
