42 Rangitīkei,Total Party Votes,"FITZGERALD, Hayden (ACT New Zealand)","ROBERTSON, Ian (Conservative Party)","BRANNIGAN, Maree (Green Party)","PAGANI, Josie (Labour Party)","CLEAVE, Peter (Mana)","McKELVIE, Ian (National Party)","SETON, Grant (Independent)","TURNER, Charles (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    478, 12.55,  2.51,  0.84,  6.28,  0.00, 75.31,  0.00,  0.00,  1.26,  1.26,100.00 
Alliance,     12,  8.33, 16.67,  0.00, 41.67, 16.67,  0.00,  0.00, 16.67,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    152,  1.32,  3.29, 24.34, 23.68,  1.97, 30.26,  3.95,  5.26,  2.63,  3.29,100.00 
Conservative Party,   1333,  1.28, 44.71,  1.35, 12.75,  0.15, 37.28,  0.38,  0.23,  1.58,  0.30,100.00 
Democrats for Social Credit,     27,  0.00, 18.52, 18.52, 29.63, 11.11, 11.11,  3.70,  3.70,  3.70,  0.00,100.00 
Green Party,   2994,  0.90,  0.97, 36.44, 38.81,  0.47, 19.51,  0.23,  0.10,  1.24,  1.34,100.00 
Labour Party,   6723,  0.25,  0.73,  5.18, 83.34,  0.28,  6.01,  0.18,  0.15,  2.25,  1.64,100.00 
Libertarianz,     23, 26.09,  4.35,  0.00,  8.70,  4.35, 39.13,  0.00,  4.35, 13.04,  0.00,100.00 
Mana,     62,  0.00,  1.61, 16.13, 32.26, 33.87,  6.45,  0.00,  1.61,  1.61,  6.45,100.00 
Māori Party,    247,  0.00,  1.62, 15.79, 23.08,  4.86, 46.15,  0.40,  0.40,  4.45,  3.24,100.00 
National Party,  17115,  0.81,  1.52,  1.97,  2.83,  0.08, 90.08,  0.14,  0.24,  1.48,  0.85,100.00 
New Zealand First Party,   2305,  1.00,  7.25,  8.11, 51.28,  0.74, 23.64,  1.26,  1.00,  5.25,  0.48,100.00 
United Future,    260,  1.54,  5.77,  6.15, 11.15,  0.38, 69.23,  1.54,  1.15,  2.31,  0.77,100.00 
Informal Party Votes,    363,  1.93,  3.31,  4.13, 31.13,  0.55, 33.33,  0.55,  1.38, 22.04,  1.65,100.00 
Total Party Votes and Percentages,  32094,  0.94,  3.61,  6.57, 27.74,  0.34, 56.97,  0.28,  0.32,  2.17,  1.06,100.00 
