44 Rodney,Total Party Votes,"HOULBROOKE, Beth (ACT New Zealand)","CRAIG, Colin (Conservative Party)","MOORE, Teresa (Green Party)","ROSE, Christine (Labour Party)","MITCHELL, Mark (National Party)","MARTIN, Tracey (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    460, 15.43, 20.22,  0.65,  2.39, 58.26,  2.17,  0.43,  0.43,100.00 
Alliance,     12,  0.00, 25.00,  0.00, 75.00,  0.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    151,  1.32, 15.23, 33.11, 16.56, 23.84,  3.97,  2.65,  3.31,100.00 
Conservative Party,   2459,  0.08, 83.53,  0.65,  0.94, 11.92,  0.81,  1.46,  0.61,100.00 
Democrats for Social Credit,     13,  0.00, 23.08, 23.08, 15.38, 23.08, 15.38,  0.00,  0.00,100.00 
Green Party,   3265,  0.15, 11.70, 45.67, 27.50, 10.93,  1.44,  0.83,  1.78,100.00 
Labour Party,   5178,  0.23, 14.33,  8.92, 67.05,  2.59,  3.07,  2.28,  1.53,100.00 
Libertarianz,     18, 16.67, 33.33, 16.67,  5.56, 11.11,  5.56, 11.11,  0.00,100.00 
Mana,     58,  1.72, 12.07, 27.59, 24.14, 10.34,  6.90,  1.72, 15.52,100.00 
Māori Party,    140,  0.00,  8.57, 17.86, 20.00, 40.00,  5.71,  0.71,  7.14,100.00 
National Party,  23967,  0.43, 16.16,  2.19,  0.73, 77.81,  0.78,  1.18,  0.71,100.00 
New Zealand First Party,   2688,  0.15, 27.90,  3.35, 17.30, 10.42, 37.65,  2.42,  0.82,100.00 
United Future,    154,  0.65, 30.52,  5.19,  8.44, 48.05,  4.55,  1.30,  1.30,100.00 
Informal Party Votes,    257,  0.00, 14.40,  1.17, 12.84, 36.96,  4.67, 28.40,  1.56,100.00 
Total Party Votes and Percentages,  38820,  0.53, 20.69,  6.94, 13.32, 52.17,  3.80,  1.58,  0.97,100.00 
