47 Selwyn,Total Party Votes,"GRAY, Wilton (Conservative Party)","SAGE, Eugenie Meryl (Green Party)","McLEAN, Jo (Labour Party)","ADAMS, Amy (National Party)","WOODS, Bill (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    336,  4.17,  2.38,  2.98, 84.23,  3.27,  1.79,  1.19,100.00 
Alliance,     24,  0.00, 29.17, 16.67, 37.50, 16.67,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    123,  4.07, 33.33, 16.26, 26.02, 14.63,  2.44,  3.25,100.00 
Conservative Party,    906, 37.97,  2.54,  3.75, 51.32,  2.98,  0.44,  0.99,100.00 
Democrats for Social Credit,     13, 15.38, 15.38, 23.08, 23.08, 23.08,  0.00,  0.00,100.00 
Green Party,   4215,  0.59, 51.96, 19.34, 24.34,  1.61,  0.74,  1.42,100.00 
Labour Party,   5942,  0.91, 13.88, 67.69,  9.81,  3.89,  2.31,  1.51,100.00 
Libertarianz,     11, 27.27, 27.27,  9.09, 27.27,  9.09,  0.00,  0.00,100.00 
Mana,     52,  7.69, 34.62, 19.23, 13.46, 11.54,  0.00, 13.46,100.00 
Māori Party,    137,  6.57, 16.06, 12.41, 56.20,  6.57,  0.73,  1.46,100.00 
National Party,  23086,  0.68,  1.64,  0.52, 94.38,  0.77,  1.06,  0.95,100.00 
New Zealand First Party,   1750,  3.03,  7.60, 23.14, 23.20, 40.34,  1.71,  0.97,100.00 
United Future,    256,  2.73,  7.81,  9.77, 73.44,  2.34,  3.13,  0.78,100.00 
Informal Party Votes,    192,  0.00,  2.08, 13.02, 48.44,  4.69, 31.77,  0.00,100.00 
Total Party Votes and Percentages,  37043,  1.83,  9.92, 14.88, 67.39,  3.45,  1.42,  1.12,100.00 
