48 Tāmaki,Total Party Votes,"BOSCAWEN, John (ACT New Zealand)","SIMPSON, Litia (Conservative Party)","LECKINGER, Richard (Green Party)","BAKULICH, Nick Iusitini (Labour Party)","O'CONNOR, Simon (National Party)","BERRY, Stephen (Independent)","YOUNG, Wayne (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    893, 26.54,  1.23,  0.90,  1.01, 66.18,  1.34,  1.23,  0.90,  0.67,100.00 
Alliance,      6,  0.00,  0.00,  0.00, 33.33,  0.00,  0.00,  0.00, 66.67,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    107,  3.74,  0.93, 19.63, 10.28, 41.12,  4.67,  8.41,  3.74,  7.48,100.00 
Conservative Party,    575,  1.91, 42.09,  1.74,  3.83, 46.78,  0.87,  0.35,  1.39,  1.04,100.00 
Democrats for Social Credit,      5, 20.00,  0.00, 60.00,  0.00, 20.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,   3314,  0.81,  0.48, 46.86, 27.10, 19.40,  0.36,  1.84,  1.15,  1.99,100.00 
Labour Party,   6642,  0.90,  0.75,  8.31, 78.23,  4.32,  0.50,  1.07,  3.10,  2.82,100.00 
Libertarianz,     30, 13.33, 13.33,  3.33, 10.00, 16.67, 23.33,  6.67, 13.33,  0.00,100.00 
Mana,    102,  0.98,  1.96, 23.53, 45.10,  5.88,  0.00,  4.90,  4.90, 12.75,100.00 
Māori Party,    193,  0.52,  1.55, 17.62, 24.35, 46.11,  2.07,  2.07,  3.63,  2.07,100.00 
National Party,  24338,  1.97,  0.47,  1.87,  0.69, 91.79,  0.17,  0.62,  1.29,  1.11,100.00 
New Zealand First Party,   1421,  2.60,  7.88, 12.74, 40.25, 26.81,  1.76,  2.53,  4.86,  0.56,100.00 
United Future,    156,  4.49,  3.85,  5.77, 13.46, 62.82,  3.85,  3.21,  1.28,  1.28,100.00 
Informal Party Votes,    255,  2.75,  1.96,  3.53, 21.57, 32.16,  0.39,  0.39, 34.12,  3.14,100.00 
Total Party Votes and Percentages,  38037,  2.31,  1.49,  7.52, 18.54, 65.30,  0.40,  0.94,  1.98,  1.52,100.00 
