50 Taupō,Total Party Votes,"JOLLANDS, Rosanne (ACT New Zealand)","BREETVELT, Mark (Conservative Party)","McCARTHY, Zane (Green Party)","CAMPBELL, Frances (Labour Party)","REEDY, Keriana (Mana)","UPSTON, Louise (National Party)","PERRY, Edwin (New Zealand First Party)","SIMMONS, Alan (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    394, 18.53,  2.28,  2.54,  4.06,  0.25, 67.26,  1.78,  0.25,  1.27,  1.78,100.00 
Alliance,     12,  0.00,  0.00,  8.33, 16.67,  0.00, 66.67,  0.00,  0.00,  8.33,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    157,  1.27,  4.46, 35.03, 15.92,  3.82, 24.20,  3.18,  1.91,  4.46,  5.73,100.00 
Conservative Party,   1236,  0.49, 44.42,  1.70,  5.99,  0.00, 43.37,  1.62,  0.24,  1.54,  0.65,100.00 
Democrats for Social Credit,     20,  5.00,  5.00, 15.00,  5.00,  0.00, 25.00, 30.00,  5.00, 10.00,  0.00,100.00 
Green Party,   2549,  0.59,  0.98, 42.21, 25.74,  1.33, 24.91,  1.02,  0.55,  1.53,  1.14,100.00 
Labour Party,   6844,  0.19,  1.04,  7.16, 74.14,  1.17,  7.85,  2.86,  0.37,  3.20,  2.03,100.00 
Libertarianz,     22, 13.64, 18.18, 22.73,  9.09,  9.09, 27.27,  0.00,  0.00,  0.00,  0.00,100.00 
Mana,    140,  0.00,  0.00,  7.86, 11.43, 65.00,  1.43,  2.86,  0.71,  0.71, 10.00,100.00 
Māori Party,    226,  0.00,  1.33, 11.50, 21.68,  7.96, 42.92,  4.42,  0.88,  5.75,  3.54,100.00 
National Party,  19003,  0.36,  0.69,  1.27,  0.47,  0.06, 94.49,  0.43,  0.28,  1.26,  0.68,100.00 
New Zealand First Party,   2833,  0.25,  3.28,  3.74, 26.79,  0.78, 20.19, 40.10,  0.49,  3.46,  0.92,100.00 
United Future,    311,  0.00,  1.29,  0.96,  4.18,  0.32, 58.84,  1.29, 30.55,  2.25,  0.32,100.00 
Informal Party Votes,    239,  0.42,  1.26,  2.93, 17.99,  0.00, 39.33,  5.02,  1.26, 29.29,  2.51,100.00 
Total Party Votes and Percentages,  33986,  0.56,  2.65,  6.05, 20.06,  0.78, 61.60,  4.44,  0.64,  2.12,  1.11,100.00 
