52 Te Atatū,Total Party Votes,"COSTELLO, Dominic (ACT New Zealand)","LIU, Cynthia (Conservative Party)","STEWART, Gary (Green Party)","TWYFORD, Phil (Labour Party)","HENARE, Tau (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    271, 29.52,  7.75,  1.85, 20.30, 36.53,  2.21,  1.85,100.00 
Alliance,     24,  4.17,  0.00,  4.17, 66.67, 12.50,  8.33,  4.17,100.00 
Aotearoa Legalise Cannabis Party,    169,  1.78,  4.73, 31.95, 37.28, 14.79,  4.73,  4.73,100.00 
Conservative Party,    851,  1.18, 49.82,  1.65, 22.44, 21.39,  2.12,  1.41,100.00 
Democrats for Social Credit,     21,  4.76, 19.05,  4.76, 42.86, 19.05,  9.52,  0.00,100.00 
Green Party,   2231,  0.22,  0.63, 30.97, 59.08,  5.83,  1.08,  2.20,100.00 
Labour Party,  11999,  0.14,  0.48,  2.69, 89.54,  0.78,  3.33,  3.05,100.00 
Libertarianz,     14,  7.14, 28.57, 21.43, 14.29, 21.43,  7.14,  0.00,100.00 
Mana,    159,  3.14,  0.63, 16.98, 57.86,  5.66,  6.29,  9.43,100.00 
Māori Party,    193,  0.52,  3.63,  8.29, 40.41, 36.27,  4.15,  6.74,100.00 
National Party,  12701,  1.24,  3.17,  3.73, 13.57, 74.32,  2.76,  1.21,100.00 
New Zealand First Party,   2081,  1.06,  6.87,  5.86, 64.87, 13.94,  6.20,  1.20,100.00 
United Future,    121,  3.31, 10.74,  5.79, 33.88, 42.98,  2.48,  0.83,100.00 
Informal Party Votes,    356,  0.00,  2.25,  1.69, 50.00, 12.64, 29.78,  3.65,100.00 
Total Party Votes and Percentages,  31191,  0.99,  3.55,  5.59, 50.85, 33.48,  3.42,  2.12,100.00 
