55 Waimakariri,Total Party Votes,"de VRIES, Tim (Conservative Party)","KELCHER, John (Green Party)","COSGROVE, Clayton (Labour Party)","WILKINSON, Kate (National Party)","PROSSER, Richard (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    195,  2.56,  1.03, 15.38, 72.82,  4.62,  2.05,  1.54,100.00 
Alliance,     17,  0.00,  5.88, 58.82, 23.53, 11.76,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    155,  1.94, 21.29, 45.81, 24.52,  0.65,  1.94,  3.87,100.00 
Conservative Party,   1177, 36.87,  0.76, 33.31, 26.93,  0.51,  1.02,  0.59,100.00 
Democrats for Social Credit,     23,  8.70,  8.70, 47.83, 21.74,  4.35,  8.70,  0.00,100.00 
Green Party,   3050,  0.92, 22.75, 63.15, 11.21,  0.30,  0.62,  1.05,100.00 
Labour Party,   8431,  0.43,  1.86, 92.16,  2.43,  0.74,  1.21,  1.17,100.00 
Libertarianz,     12, 25.00,  0.00, 50.00, 25.00,  0.00,  0.00,  0.00,100.00 
Mana,     35,  8.57, 14.29, 60.00,  5.71,  8.57,  2.86,  0.00,100.00 
Māori Party,     93,  3.23,  9.68, 35.48, 43.01,  3.23,  2.15,  3.23,100.00 
National Party,  20489,  0.97,  1.22, 21.07, 74.50,  0.28,  1.20,  0.76,100.00 
New Zealand First Party,   2131,  2.25,  1.22, 63.21, 11.22, 19.99,  1.64,  0.47,100.00 
United Future,    208,  6.25,  2.88, 39.42, 43.75,  1.92,  4.33,  1.44,100.00 
Informal Party Votes,    297,  3.03,  1.01, 43.43, 31.65,  1.68, 18.52,  0.67,100.00 
Total Party Votes and Percentages,  36313,  2.16,  3.30, 44.46, 46.23,  1.62,  1.35,  0.88,100.00 
