56 Wairarapa,Total Party Votes,"ATKINSON, Shane (ACT New Zealand)","REID, Brent (Conservative Party)","ROTMANN, Sea (Green Party)","BOTT, Michael (Labour Party)","McGRATH, Richard (Libertarianz)","HAYES, John (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    467, 14.99,  1.28,  1.93,  7.07,  2.78, 70.24,  1.28,  0.43,100.00 
Alliance,     14,  7.14,  0.00, 21.43, 14.29,  7.14, 28.57, 14.29,  7.14,100.00 
Aotearoa Legalise Cannabis Party,    200,  2.50,  5.00, 34.00, 18.00,  5.50, 30.00,  3.50,  1.50,100.00 
Conservative Party,   1314,  0.30, 51.52,  1.75, 11.11,  1.29, 31.89,  1.98,  0.15,100.00 
Democrats for Social Credit,     14,  0.00, 21.43, 28.57, 14.29, 21.43,  7.14,  7.14,  0.00,100.00 
Green Party,   3442,  0.20,  0.84, 42.13, 41.37,  1.48, 11.33,  1.54,  1.10,100.00 
Labour Party,   8161,  0.26,  1.08,  6.22, 83.87,  1.20,  3.00,  3.20,  1.16,100.00 
Libertarianz,     94,  1.06,  1.06,  3.19,  6.38, 73.40,  9.57,  5.32,  0.00,100.00 
Mana,     75,  0.00,  1.33, 37.33, 48.00,  4.00,  8.00,  1.33,  0.00,100.00 
Māori Party,    218,  0.92,  5.05, 19.72, 29.82,  4.59, 32.57,  4.59,  2.75,100.00 
National Party,  18046,  1.01,  2.14,  2.54,  2.95,  1.51, 87.02,  2.44,  0.39,100.00 
New Zealand First Party,   2738,  1.68,  8.55,  8.33, 54.24,  3.32, 15.81,  7.63,  0.44,100.00 
United Future,    238,  5.04,  8.82,  7.98, 16.39,  4.20, 55.46,  1.68,  0.42,100.00 
Informal Party Votes,    294,  0.34,  3.06,  4.08, 31.97,  0.68, 27.21, 30.95,  1.70,100.00 
Total Party Votes and Percentages,  35315,  1.00,  4.18,  8.09, 30.43,  1.85, 50.63,  3.16,  0.67,100.00 
